epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,7.87G,0.07196,0.0204,0,0.09236,52,640,0.03386,0.03288,0.01026,0.004896,0.1051,0.03223,0
1/299,10.7G,0.06525,0.01682,0,0.08207,46,640,0.04652,0.05222,0.01301,0.003252,0.097,0.03438,0
2/299,10.7G,0.05923,0.01614,0,0.07537,43,640,0.09156,0.04062,0.01607,0.003801,0.09976,0.03207,0
3/299,10.7G,0.0552,0.01611,0,0.0713,40,640,0.1605,0.1818,0.08304,0.02021,0.08274,0.03907,0
4/299,10.7G,0.05263,0.01642,0,0.06905,53,640,0.4643,0.3162,0.2948,0.09392,0.07486,0.04189,0
5/299,10.7G,0.05208,0.0141,0,0.06617,32,640,0.2699,0.1721,0.1208,0.03974,0.0833,0.03842,0
6/299,10.7G,0.05074,0.01346,0,0.0642,18,640,0.5061,0.352,0.3352,0.09895,0.06788,0.04005,0
7/299,10.7G,0.05201,0.01196,0,0.06397,36,640,0.5931,0.3679,0.3695,0.1526,0.07556,0.03451,0
8/299,10.7G,0.05098,0.01237,0,0.06335,29,640,0.493,0.2089,0.1888,0.06112,0.08096,0.03373,0
9/299,10.7G,0.05286,0.01186,0,0.06472,42,640,0.5451,0.3868,0.3578,0.1353,0.08333,0.03232,0
10/299,10.7G,0.05014,0.01103,0,0.06117,37,640,0.6403,0.3462,0.3739,0.1214,0.09027,0.02891,0
11/299,10.7G,0.05411,0.0112,0,0.06531,49,640,0.6364,0.2515,0.2813,0.1162,0.08375,0.03707,0
12/299,10.7G,0.05466,0.01067,0,0.06532,24,640,0.2254,0.2573,0.1818,0.06191,0.07835,0.03893,0
13/299,10.7G,0.05376,0.01139,0,0.06514,56,640,0.158,0.2592,0.09581,0.0207,0.08067,0.03837,0
14/299,10.7G,0.05152,0.01158,0,0.06309,43,640,0.09189,0.1277,0.03048,0.004772,0.09399,0.03524,0
15/299,10.7G,0.05085,0.01191,0,0.06276,55,640,0.1298,0.2533,0.06693,0.01238,0.0985,0.02939,0
16/299,10.7G,0.05312,0.01137,0,0.06449,47,640,0.2134,0.3395,0.1435,0.03861,0.09155,0.03428,0
17/299,10.7G,0.05021,0.01136,0,0.06157,39,640,0.2824,0.2205,0.1353,0.03527,0.1058,0.0291,0
18/299,10.7G,0.05527,0.01071,0,0.06598,30,640,0.3481,0.4391,0.3955,0.1467,0.09303,0.02782,0
19/299,10.7G,0.05761,0.01096,0,0.06857,39,640,0.3398,0.2824,0.2276,0.08882,0.07646,0.03922,0
20/299,10.7G,0.05452,0.01077,0,0.06529,35,640,0.8179,0.4091,0.5182,0.2339,0.07294,0.0356,0
21/299,10.7G,0.05125,0.0113,0,0.06255,55,640,0.1673,0.3037,0.1353,0.0476,0.08431,0.04006,0
22/299,10.7G,0.04244,0.01087,0,0.05332,36,640,0.3205,0.2418,0.1598,0.04298,0.08707,0.03981,0
23/299,10.7G,0.06278,0.01157,0,0.07435,35,640,0.2486,0.2166,0.1186,0.02727,0.1037,0.02977,0
24/299,10.7G,0.05427,0.01092,0,0.06519,30,640,0.1674,0.2718,0.1169,0.03592,0.07977,0.03856,0
25/299,10.7G,0.04747,0.01053,0,0.058,37,640,0.5784,0.441,0.4393,0.1765,0.07724,0.03441,0
26/299,10.7G,0.05981,0.01054,0,0.07035,38,640,0.09734,0.3414,0.05647,0.02072,0.07729,0.04112,0
27/299,10.7G,0.0484,0.01031,0,0.05871,44,640,0.366,0.4019,0.3132,0.1024,0.074,0.0411,0
28/299,10.7G,0.05342,0.01077,0,0.06419,50,640,0.4825,0.4081,0.351,0.08279,0.07548,0.04184,0
29/299,10.7G,0.04404,0.01007,0,0.05411,51,640,0.6287,0.5076,0.5422,0.2423,0.07842,0.03339,0
30/299,10.7G,0.05433,0.009736,0,0.06407,45,640,0.5758,0.5542,0.5613,0.2507,0.07386,0.03297,0
31/299,10.7G,0.04921,0.009901,0,0.05911,39,640,0.3869,0.5048,0.3854,0.1532,0.0768,0.04004,0
32/299,10.7G,0.04719,0.01051,0,0.0577,55,640,0.6095,0.4884,0.5148,0.1843,0.07417,0.0341,0
33/299,10.7G,0.05225,0.009864,0,0.06211,26,640,0.6062,0.4928,0.5259,0.2083,0.07245,0.03396,0
34/299,10.7G,0.05448,0.01002,0,0.0645,43,640,0.5978,0.4858,0.5669,0.2282,0.07229,0.03488,0
35/299,10.7G,0.05162,0.009442,0,0.06106,34,640,0.5814,0.6228,0.6214,0.273,0.0669,0.03593,0
36/299,10.7G,0.05132,0.009849,0,0.06117,56,640,0.6258,0.6103,0.6414,0.2197,0.06884,0.03552,0
37/299,10.7G,0.05514,0.00938,0,0.06452,36,640,0.6642,0.5464,0.6585,0.2872,0.06857,0.03529,0
38/299,10.7G,0.05073,0.00925,0,0.05998,40,640,0.636,0.5029,0.5947,0.2559,0.06716,0.03768,0
39/299,10.7G,0.05656,0.00957,0,0.06613,52,640,0.8181,0.4217,0.5767,0.2321,0.06361,0.03738,0
40/299,10.7G,0.05167,0.009651,0,0.06132,42,640,0.9141,0.4478,0.5717,0.2778,0.07119,0.03613,0
41/299,10.7G,0.04604,0.009177,0,0.05521,45,640,0.6549,0.5677,0.6121,0.2816,0.07178,0.03492,0
42/299,10.7G,0.05418,0.008656,0,0.06284,29,640,0.5761,0.5677,0.5895,0.2174,0.07706,0.03222,0
43/299,10.7G,0.05448,0.009163,0,0.06364,42,640,0.8379,0.4049,0.5531,0.257,0.07758,0.03274,0
44/299,10.7G,0.04728,0.008942,0,0.05622,56,640,0.9149,0.4081,0.5764,0.2514,0.06969,0.03582,0
45/299,10.7G,0.05184,0.008271,0,0.06011,41,640,0.5495,0.6054,0.62,0.2508,0.06966,0.03503,0
46/299,10.7G,0.04668,0.008613,0,0.05529,60,640,0.5434,0.676,0.6488,0.2878,0.06943,0.03429,0
47/299,10.7G,0.04903,0.008897,0,0.05793,50,640,0.5531,0.5319,0.5568,0.2421,0.07225,0.03702,0
48/299,10.7G,0.06346,0.008484,0,0.07194,39,640,0.6632,0.3946,0.5082,0.2484,0.07186,0.03795,0
49/299,10.7G,0.0439,0.008461,0,0.05236,47,640,0.6128,0.5696,0.6338,0.3042,0.06974,0.03367,0
50/299,10.7G,0.04816,0.008935,0,0.0571,55,640,0.617,0.5909,0.6161,0.303,0.07153,0.03473,0
51/299,10.7G,0.05048,0.008639,0,0.05912,50,640,0.6034,0.5464,0.5452,0.2368,0.07455,0.036,0
52/299,10.7G,0.04646,0.008308,0,0.05477,31,640,0.6475,0.529,0.5941,0.2657,0.06928,0.0364,0
53/299,10.7G,0.04338,0.008618,0,0.05199,45,640,0.6236,0.5242,0.597,0.2927,0.06503,0.03805,0
54/299,10.7G,0.04642,0.008745,0,0.05517,55,640,0.6723,0.4903,0.6371,0.3265,0.06297,0.03885,0
55/299,10.7G,0.0486,0.00832,0,0.05693,31,640,0.6123,0.5068,0.6121,0.3012,0.06273,0.04011,0
56/299,10.7G,0.04685,0.007813,0,0.05467,34,640,0.7101,0.5212,0.6603,0.3397,0.06244,0.03779,0
57/299,10.7G,0.04754,0.008251,0,0.05579,35,640,0.6558,0.4497,0.5667,0.2883,0.06419,0.04154,0
58/299,10.7G,0.04436,0.007937,0,0.05229,31,640,0.7415,0.3781,0.5223,0.257,0.06557,0.04224,0
59/299,10.7G,0.0402,0.008091,0,0.04829,48,640,0.7548,0.4352,0.5572,0.2993,0.06362,0.04277,0
60/299,10.7G,0.05302,0.008273,0,0.06129,47,640,0.7412,0.499,0.5962,0.3223,0.06201,0.04173,0
