epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
50/299,10.9G,0.05105,0.0111,0,0.06215,178,640,0.7026,0.5991,0.6638,0.2895,0.08265,0.01924,0
51/299,10.9G,0.04873,0.01198,0,0.06071,217,640,0.7746,0.5519,0.6922,0.3132,0.08066,0.0196,0
52/299,10.9G,0.05172,0.01164,0,0.06336,196,640,0.7222,0.4057,0.4574,0.1868,0.09095,0.02417,0
53/299,10.9G,0.05006,0.01168,0,0.06174,200,640,0.4831,0.4811,0.3849,0.1444,0.09046,0.01949,0
54/299,10.9G,0.0489,0.01127,0,0.06017,199,640,0.4479,0.5495,0.3812,0.1686,0.07914,0.0206,0
55/299,10.9G,0.0477,0.01131,0,0.05901,160,640,0.8111,0.6884,0.7778,0.3679,0.07813,0.01962,0
56/299,10.9G,0.04793,0.0117,0,0.05963,181,640,0.8623,0.7239,0.8178,0.407,0.07684,0.01876,0
57/299,10.9G,0.04788,0.01213,0,0.06001,210,640,0.6465,0.7332,0.7369,0.3271,0.0803,0.01903,0
58/299,10.9G,0.04798,0.01149,0,0.05948,196,640,0.7742,0.7358,0.789,0.3564,0.0767,0.01843,0
59/299,10.9G,0.04531,0.01106,0,0.05638,227,640,0.8885,0.658,0.8164,0.4128,0.07512,0.01887,0
60/299,10.9G,0.04483,0.01102,0,0.05585,186,640,0.8723,0.6768,0.8051,0.4159,0.07474,0.01894,0
61/299,10.9G,0.04557,0.01113,0,0.0567,168,640,0.8108,0.7594,0.8117,0.4253,0.07368,0.01868,0
62/299,10.9G,0.04613,0.01135,0,0.05748,233,640,0.7531,0.7121,0.7692,0.3632,0.0748,0.01993,0
63/299,10.9G,0.04672,0.01042,0,0.05714,193,640,0.8757,0.7311,0.8365,0.4217,0.07161,0.0192,0
64/299,10.9G,0.04556,0.01127,0,0.05684,239,640,0.8486,0.6392,0.7571,0.3511,0.07085,0.02139,0
65/299,10.9G,0.04631,0.0109,0,0.05721,236,640,0.6241,0.7406,0.7101,0.3258,0.07038,0.02238,0
66/299,10.9G,0.04479,0.01115,0,0.05594,247,640,0.8111,0.7799,0.8293,0.4431,0.06825,0.0194,0
67/299,10.9G,0.04444,0.0111,0,0.05554,233,640,0.8787,0.7688,0.8339,0.4645,0.07033,0.01889,0
68/299,10.9G,0.04289,0.0109,0,0.05379,209,640,0.7853,0.7783,0.8345,0.4549,0.0724,0.01869,0
69/299,10.9G,0.04429,0.01081,0,0.0551,188,640,0.8944,0.7217,0.8287,0.4596,0.06663,0.01982,0
70/299,10.9G,0.04596,0.011,0,0.05696,197,640,0.8991,0.6933,0.7984,0.4273,0.06638,0.02051,0
71/299,10.9G,0.04404,0.01117,0,0.05521,185,640,0.8791,0.7594,0.8406,0.4728,0.06621,0.0197,0
72/299,10.9G,0.04435,0.01041,0,0.05476,180,640,0.8742,0.6415,0.7199,0.3711,0.06976,0.02147,0
73/299,10.9G,0.04432,0.01054,0,0.05485,201,640,0.7557,0.7075,0.743,0.3849,0.0686,0.02063,0
74/299,10.9G,0.04226,0.01048,0,0.05274,213,640,0.8757,0.7665,0.867,0.4604,0.0655,0.01982,0
75/299,10.9G,0.04164,0.01009,0,0.05172,171,640,0.828,0.7288,0.8081,0.4369,0.06906,0.01997,0
76/299,10.9G,0.04341,0.01011,0,0.05352,196,640,0.8804,0.7689,0.8616,0.4719,0.06715,0.01954,0
77/299,10.9G,0.04429,0.01006,0,0.05435,170,640,0.7804,0.5448,0.6633,0.3219,0.06818,0.02321,0
78/299,10.9G,0.04111,0.009594,0,0.0507,187,640,0.8506,0.7923,0.8701,0.4813,0.06462,0.02073,0
79/299,10.9G,0.0399,0.009802,0,0.04971,212,640,0.9036,0.8183,0.8883,0.5121,0.06575,0.0189,0
80/299,10.9G,0.04262,0.01008,0,0.0527,204,640,0.8965,0.8585,0.9023,0.5267,0.06709,0.01836,0
81/299,10.9G,0.04247,0.009773,0,0.05225,200,640,0.907,0.8277,0.9024,0.507,0.06653,0.01919,0
82/299,10.9G,0.04127,0.01027,0,0.05154,208,640,0.8791,0.8231,0.8874,0.5038,0.06641,0.019,0
83/299,10.9G,0.04101,0.009738,0,0.05075,238,640,0.8804,0.7995,0.8659,0.4715,0.0692,0.0184,0
84/299,10.9G,0.03956,0.00979,0,0.04935,185,640,0.9259,0.7972,0.901,0.5085,0.0671,0.01831,0
