                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6571,                 2.4701,                 1.7286,                0.01128,                0.32012,                0.00863,                0.00313,                 2.4714,                    inf,                 5.1559,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.7046,                 1.8054,                 1.7888,                0.00198,                0.14023,                0.00212,                0.00054,                 4.3269,                    inf,                 68.093,               0.001216,               0.001216,               0.001216
                      3,                 1.7827,                 1.8486,                 1.8255,                0.03592,                0.57737,                0.03285,                0.01107,                 2.3366,                    inf,                 4.1632,              0.0018279,              0.0018279,              0.0018279
                      4,                 1.6853,                 1.6823,                 1.7559,                0.00666,                0.27563,                0.00426,                0.00123,                 3.8176,                    inf,                 12.884,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5996,                 1.4788,                 1.6717,                0.05478,                0.65957,                0.04441,                0.01729,                 1.9953,                    inf,                 3.8648,              0.0019802,              0.0019802,              0.0019802
                      6,                  1.564,                 1.4035,                 1.6319,                0.17377,                0.30271,                0.11032,                 0.0365,                 2.3501,                 6.7935,                  2.813,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5054,                 1.3378,                 1.5632,                0.45641,                0.51547,                0.47722,                0.19962,                 1.9144,                 3.9228,                 2.1374,               0.001967,               0.001967,               0.001967
                      8,                 1.4922,                  1.304,                  1.583,                0.65899,                0.31959,                0.42314,                0.21349,                 1.7979,                 2.4625,                 2.0978,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4441,                 1.2305,                 1.5739,                0.49239,                0.50677,                0.49756,                0.24144,                 1.8109,                 4.3498,                 2.0579,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4195,                 1.1916,                  1.527,                0.64879,                0.46132,                0.49451,                0.22851,                 1.6909,                 2.4532,                 1.8552,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.3904,                 1.1571,                 1.5067,                0.58658,                0.50677,                 0.5511,                0.28521,                  1.616,                 1.5866,                  1.797,              0.0019406,              0.0019406,              0.0019406
