epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,17.6G,0.07154,0.0247,0,0.09624,164,640,0.00942,0.191,0.004231,0.0007601,0.09604,0.02743,0
1/299,17.5G,0.06781,0.02037,0,0.08819,189,640,0.006664,0.5094,0.004663,0.0008027,0.08811,0.02731,0
2/299,17.5G,0.06518,0.01942,0,0.08461,202,640,0.005808,0.5472,0.004418,0.0007037,0.08806,0.02648,0
3/299,17.5G,0.06331,0.01825,0,0.08156,202,640,0.005228,0.3066,0.002757,0.0004518,0.08939,0.02576,0
4/299,17.5G,0.06299,0.0188,0,0.08179,202,640,0.005067,0.2972,0.002316,0.0003915,0.08908,0.02554,0
5/299,17.5G,0.0631,0.0178,0,0.0809,208,640,0.005158,0.3042,0.002489,0.0004094,0.09055,0.02514,0
6/299,17.5G,0.06247,0.01763,0,0.0801,149,640,0.00515,0.2948,0.002309,0.0003904,0.08906,0.02526,0
7/299,17.5G,0.06082,0.01772,0,0.07854,186,640,0.004693,0.2925,0.002501,0.0003928,0.08922,0.02515,0
8/299,17.5G,0.0607,0.01774,0,0.07844,210,640,0.005166,0.2995,0.002374,0.0004055,0.08804,0.02537,0
9/299,17.5G,0.05985,0.0187,0,0.07855,181,640,0.00523,0.125,0.002441,0.0003521,0.08847,0.02524,0
10/299,17.5G,0.05931,0.01769,0,0.07699,187,640,0.007434,0.1297,0.003559,0.000628,0.08542,0.02595,0
11/299,17.5G,0.05794,0.01915,0,0.07709,232,640,0.1034,0.0684,0.03101,0.005996,0.08289,0.02665,0
12/299,17.5G,0.05762,0.01919,0,0.0768,221,640,0.05398,0.3467,0.03332,0.006783,0.0797,0.02741,0
13/299,17.5G,0.05596,0.01892,0,0.07488,201,640,0.07595,0.2828,0.0454,0.00785,0.07752,0.02804,0
14/299,17.5G,0.05491,0.01982,0,0.07473,208,640,0.1042,0.2453,0.05286,0.008751,0.07613,0.02774,0
15/299,17.5G,0.05482,0.01781,0,0.07263,203,640,0.1868,0.1816,0.08004,0.01375,0.07969,0.02627,0
16/299,17.5G,0.05575,0.01752,0,0.07326,215,640,0.2235,0.3491,0.1409,0.02726,0.07529,0.02618,0
17/299,17.5G,0.05652,0.01624,0,0.07276,210,640,0.3422,0.3467,0.261,0.05527,0.07943,0.02413,0
18/299,17.5G,0.05798,0.01533,0,0.07331,209,640,0.566,0.2854,0.3025,0.07627,0.07976,0.02455,0
19/299,17.5G,0.05707,0.0152,0,0.07227,230,640,0.311,0.3561,0.2629,0.06503,0.07802,0.02419,0
20/299,17.5G,0.05843,0.01525,0,0.07369,205,640,0.552,0.342,0.3426,0.1019,0.07812,0.0246,0
21/299,17.5G,0.05731,0.01457,0,0.07188,176,640,0.6274,0.3113,0.3515,0.09588,0.08175,0.02328,0
22/299,17.5G,0.0573,0.01452,0,0.07182,204,640,0.1047,0.1108,0.03931,0.007855,0.1074,0.06382,0
23/299,17.5G,0.05736,0.01439,0,0.07175,190,640,0.3888,0.4269,0.2866,0.07739,0.08298,0.02277,0
24/299,17.5G,0.05886,0.01428,0,0.07314,228,640,0.566,0.3774,0.4115,0.09997,0.07815,0.02281,0
25/299,17.5G,0.057,0.01332,0,0.07033,176,640,0.4568,0.4363,0.4591,0.1525,0.07973,0.02272,0
26/299,17.5G,0.05702,0.01375,0,0.07077,223,640,0.4063,0.4104,0.3084,0.08463,0.08308,0.02289,0
27/299,17.5G,0.05662,0.01326,0,0.06987,175,640,0.079,0.217,0.04078,0.007108,0.09925,0.02303,0
28/299,17.5G,0.05633,0.01332,0,0.06965,227,640,0.3283,0.2709,0.222,0.06739,0.08759,0.02462,0
29/299,17.5G,0.0564,0.01397,0,0.07038,229,640,0.7505,0.4033,0.502,0.1772,0.07971,0.02219,0
30/299,17.5G,0.05263,0.01329,0,0.06593,197,640,0.4905,0.5024,0.502,0.1817,0.07765,0.0228,0
31/299,17.5G,0.05453,0.01344,0,0.06797,176,640,0.6151,0.4835,0.5396,0.2112,0.07512,0.02263,0
32/299,17.5G,0.0536,0.01297,0,0.06657,201,640,0.5731,0.5165,0.5106,0.1665,0.08705,0.02034,0
33/299,17.5G,0.05585,0.01276,0,0.06861,229,640,0.5093,0.5236,0.4535,0.1459,0.08561,0.02141,0
34/299,17.5G,0.05073,0.01246,0,0.06318,153,640,0.7339,0.625,0.6584,0.2576,0.07821,0.02114,0
35/299,17.5G,0.05594,0.01206,0,0.06801,228,640,0.6779,0.4575,0.5705,0.1648,0.08445,0.02014,0
36/299,17.5G,0.0562,0.01401,0,0.07021,214,640,0.4827,0.5094,0.4761,0.1804,0.08345,0.02183,0
37/299,17.5G,0.05375,0.01333,0,0.06708,158,640,0.1242,0.566,0.09998,0.02537,0.08892,0.0347,0
38/299,17.5G,0.05372,0.01297,0,0.06669,173,640,0.5746,0.4619,0.4886,0.2078,0.08301,0.02225,0
39/299,17.5G,0.05327,0.01338,0,0.06664,205,640,0.6579,0.5444,0.5985,0.2539,0.08035,0.02173,0
40/299,17.5G,0.05523,0.01208,0,0.06731,169,640,0.633,0.559,0.5788,0.2083,0.08055,0.02212,0
41/299,17.5G,0.05353,0.01239,0,0.06592,178,640,0.2908,0.6226,0.2735,0.07578,0.08656,0.0237,0
42/299,17.5G,0.05344,0.01289,0,0.06633,264,640,0.4694,0.4505,0.4073,0.1378,0.08678,0.02133,0
43/299,17.5G,0.05329,0.01279,0,0.06608,166,640,0.5702,0.5256,0.5438,0.2111,0.08236,0.02123,0
44/299,17.5G,0.05151,0.01234,0,0.06385,182,640,0.6769,0.5967,0.6583,0.2935,0.07945,0.0201,0
45/299,17.5G,0.05295,0.0116,0,0.06455,208,640,0.078,0.1014,0.01998,0.003816,0.1289,0.06167,0
46/299,17.5G,0.05325,0.01238,0,0.06564,228,640,0.1077,0.1321,0.04191,0.009593,0.1092,0.02493,0
47/299,17.5G,0.05097,0.01157,0,0.06253,163,640,0.3356,0.2995,0.2171,0.05694,0.08678,0.02476,0
48/299,17.5G,0.05101,0.01155,0,0.06256,170,640,0.3286,0.3915,0.2989,0.08115,0.08904,0.02354,0
49/299,17.5G,0.05293,0.01234,0,0.06527,170,640,0.4498,0.434,0.3715,0.1055,0.08618,0.02358,0
50/299,17.5G,0.05077,0.01127,0,0.06204,178,640,0.1984,0.2547,0.1076,0.0218,0.09697,0.03577,0
51/299,17.5G,0.05047,0.01206,0,0.06253,217,640,0.1413,0.2028,0.07175,0.01236,0.1084,0.02535,0
52/299,17.5G,0.05263,0.0117,0,0.06433,196,640,0.4622,0.2615,0.2968,0.1052,0.09051,0.02259,0
53/299,17.5G,0.05045,0.01191,0,0.06235,200,640,0.6097,0.6675,0.673,0.3108,0.07988,0.02028,0
54/299,17.5G,0.04952,0.01132,0,0.06084,199,640,0.6914,0.7075,0.7383,0.328,0.07739,0.01925,0
55/299,17.5G,0.05099,0.01129,0,0.06229,160,640,0.6786,0.6981,0.7339,0.3147,0.07939,0.01899,0
56/299,17.5G,0.04989,0.01162,0,0.06151,181,640,0.7163,0.6415,0.7229,0.3444,0.07415,0.02106,0
57/299,17.5G,0.04742,0.01187,0,0.05929,210,640,0.756,0.6284,0.7597,0.3841,0.07443,0.02033,0
58/299,17.5G,0.04711,0.01145,0,0.05856,196,640,0.742,0.7429,0.8024,0.4284,0.07567,0.01916,0
59/299,17.5G,0.04732,0.01083,0,0.05815,227,640,0.6891,0.7028,0.7258,0.3567,0.07893,0.01925,0
60/299,17.5G,0.04598,0.01101,0,0.05699,186,640,0.767,0.7311,0.7839,0.4027,0.07435,0.01905,0
61/299,17.5G,0.04632,0.01143,0,0.05776,168,640,0.8238,0.7311,0.8133,0.4545,0.07142,0.02028,0
62/299,17.5G,0.04577,0.0115,0,0.05728,233,640,0.8671,0.6981,0.8206,0.4482,0.07201,0.01962,0
63/299,17.5G,0.04647,0.01054,0,0.05701,193,640,0.8333,0.7453,0.821,0.4529,0.07355,0.01857,0
64/299,17.5G,0.04517,0.01138,0,0.05656,239,640,0.7541,0.7523,0.8003,0.4557,0.0724,0.01887,0
65/299,17.5G,0.04384,0.01108,0,0.05492,236,640,0.8114,0.7618,0.8291,0.4642,0.07243,0.01835,0
66/299,17.5G,0.04525,0.0111,0,0.05635,247,640,0.8837,0.7358,0.8346,0.4549,0.07278,0.01824,0
67/299,17.5G,0.04462,0.01101,0,0.05564,233,640,0.8358,0.7948,0.843,0.4494,0.07424,0.01742,0
68/299,17.5G,0.04415,0.01074,0,0.05489,209,640,0.8619,0.7803,0.8708,0.4921,0.07442,0.0175,0
69/299,17.5G,0.04467,0.01053,0,0.05521,188,640,0.8479,0.8019,0.8616,0.467,0.07397,0.01766,0
