epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,10.2G,0.06979,0.01433,0,0.08412,65,640,0.03169,0.08704,0.007029,0.00133,0.1058,0.02379,0
1/299,15.8G,0.06273,0.01361,0,0.07634,54,640,0.04331,0.1518,0.01296,0.002249,0.09597,0.02517,0
2/299,15.8G,0.05703,0.01318,0,0.07021,47,640,0.05131,0.1267,0.01458,0.002737,0.08889,0.02732,0
3/299,15.8G,0.05246,0.01259,0,0.06505,35,640,0.1131,0.08414,0.02384,0.005544,0.08437,0.02887,0
4/299,15.8G,0.04913,0.01291,0,0.06204,42,640,0.3626,0.2224,0.1594,0.05553,0.07808,0.02911,0
5/299,15.8G,0.04577,0.01237,0,0.05814,67,640,0.7377,0.3317,0.3557,0.1731,0.07262,0.03053,0
6/299,15.8G,0.04384,0.01171,0,0.05555,37,640,0.7114,0.3501,0.3919,0.1352,0.07125,0.02851,0
7/299,15.8G,0.04296,0.01056,0,0.05352,36,640,0.5751,0.3472,0.3574,0.1025,0.07601,0.02672,0
8/299,15.8G,0.04371,0.01063,0,0.05434,66,640,0.7024,0.3859,0.4871,0.1987,0.0694,0.02841,0
9/299,15.8G,0.04234,0.009554,0,0.05189,40,640,0.6886,0.3379,0.4596,0.1572,0.06917,0.02925,0
10/299,15.8G,0.04156,0.009441,0,0.051,51,640,0.8252,0.3491,0.504,0.191,0.06823,0.02768,0
11/299,15.8G,0.03944,0.009083,0,0.04853,61,640,0.3555,0.3404,0.2387,0.08263,0.07802,0.02218,0
12/299,15.8G,0.04128,0.009024,0,0.05031,58,640,0.6306,0.4226,0.5174,0.1753,0.0689,0.0275,0
13/299,15.8G,0.03959,0.008814,0,0.04841,46,640,0.5706,0.5841,0.6274,0.2883,0.06718,0.02754,0
14/299,15.8G,0.03867,0.007803,0,0.04647,43,640,0.4396,0.6576,0.464,0.1474,0.07053,0.02821,0
15/299,15.8G,0.03889,0.007986,0,0.04688,33,640,0.551,0.6035,0.5791,0.2693,0.07205,0.0315,0
16/299,15.8G,0.04133,0.007883,0,0.04921,56,640,0.3958,0.6015,0.4721,0.1763,0.08701,0.02916,0
17/299,15.8G,0.04007,0.008293,0,0.04837,46,640,0.01579,0.06673,0.003299,0.0005788,0.1153,0.0255,0
18/299,15.8G,0.05373,0.009565,0,0.06329,40,640,8.515e-05,0.005803,9.014e-07,2.441e-07,nan,nan,0
19/299,15.8G,0.06515,0.009379,0,0.07453,56,640,0,0,0,0,nan,nan,0
20/299,15.8G,0.06397,0.008038,0,0.072,50,640,0,0,0,0,nan,nan,0
21/299,15.8G,0.06315,0.008583,0,0.07174,32,640,0,0,0,0,nan,nan,0
22/299,15.8G,0.06484,0.008335,0,0.07318,36,640,0,0,0,0,nan,nan,0
23/299,15.8G,0.06237,0.008779,0,0.07115,35,640,0,0,0,0,0.1408,5.349,0
24/299,15.8G,0.05885,0.009349,0,0.0682,44,640,0.007829,0.3346,0.003445,0.0004475,0.1069,0.1244,0
25/299,15.8G,0.05743,0.009518,0,0.06695,57,640,0.143,0.03404,0.01411,0.002091,0.1058,0.02704,0
26/299,15.8G,0.05732,0.00899,0,0.06631,46,640,0.1357,0.3656,0.05889,0.01131,0.1067,0.02607,0
