                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4407,                 3.6319,                 4.2122,                0.00306,                 0.2118,                0.00292,                0.00118,                 4.0063,                 3.8398,                 4.1849,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.9989,                 3.0874,                 3.7242,                 0.0104,                0.12089,                0.00713,                0.00319,                 4.2342,                 3.9109,                 4.4126,               0.001216,               0.001216,               0.001216
                      3,                 2.7784,                 2.6813,                 3.2775,                0.02043,                0.30368,                0.01346,                0.00422,                 3.3834,                    inf,                 7.5888,              0.0018279,              0.0018279,              0.0018279
                      4,                 2.5975,                  2.502,                  3.056,                0.14351,                 0.3458,                0.18277,                0.05458,                 2.9211,                 18.919,                 4.3059,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.4707,                  2.354,                 2.8779,                0.14856,                0.38588,                 0.1171,                0.04316,                 2.4884,                 9.8304,                  3.184,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.4201,                 2.2868,                 2.7896,                0.16128,                0.17892,                0.10197,                 0.0419,                 2.5598,                 7.8284,                 3.0308,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2502,                 2.2242,                 2.6328,                0.28592,                0.27853,                0.17589,                0.06737,                 2.3384,                  2.687,                 2.6797,               0.001967,               0.001967,               0.001967
                      8,                 2.1582,                 2.0552,                 2.5411,                0.35496,                0.34429,                0.26987,                0.11141,                 2.5808,                 3.3463,                 3.0346,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.0837,                 1.9804,                 2.5116,                0.36512,                0.32012,                0.26717,                0.10281,                 2.2537,                 2.0159,                  2.607,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.0271,                 1.9309,                 2.4461,                0.42164,                0.31044,                0.23542,                 0.0977,                 2.1755,                 2.4515,                 2.5286,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.0297,                 1.9104,                 2.4119,                0.60138,                0.33996,                 0.3491,                0.17548,                 2.2925,                 2.4385,                 2.6523,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.9699,                 1.8125,                 2.3601,                0.49692,                0.32108,                0.30423,                0.14864,                 2.1622,                 1.9938,                 2.5033,               0.001934,               0.001934,               0.001934
                     13,                 1.9358,                 1.7595,                 2.3184,                0.57277,                0.29884,                0.38141,                0.17166,                 2.1738,                 2.1213,                 2.5413,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.9127,                 1.7745,                 2.3325,                0.83676,                 0.2911,                0.42644,                0.22525,                 2.0968,                 1.8437,                 2.4469,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.8585,                 1.7043,                 2.2567,                0.26611,                0.55618,                 0.3465,                0.14097,                 2.1458,                 2.0142,                 2.5527,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.8149,                 1.6359,                 2.2106,                0.50758,                0.47752,                0.46268,                0.21844,                 1.9769,                 1.6264,                 2.3159,              0.0019076,              0.0019076,              0.0019076
                     17,                  1.795,                 1.5992,                 2.1913,                0.48616,                0.40232,                0.41356,                0.19842,                 1.9472,                 1.8048,                  2.318,               0.001901,               0.001901,               0.001901
                     18,                 1.8009,                 1.6058,                 2.1763,                0.64378,                0.34782,                 0.4819,                 0.2127,                 2.0742,                  1.667,                 2.3803,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.7359,                 1.5211,                 2.1242,                 0.6188,                0.37041,                0.47674,                0.21776,                 1.9592,                 1.7551,                 2.3231,              0.0018878,              0.0018878,              0.0018878
                     20,                  1.711,                 1.5184,                 2.1217,                0.66448,                0.30454,                 0.4316,                0.21906,                 1.9247,                 1.7558,                 2.3207,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.6523,                 1.4286,                 2.0644,                0.47697,                0.48936,                0.49508,                0.23216,                 1.8937,                 1.6171,                 2.2601,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6777,                  1.436,                 2.0757,                0.49574,                0.37331,                0.43433,                0.21148,                 1.9316,                 1.8839,                 2.3118,               0.001868,               0.001868,               0.001868
                     23,                 1.6973,                 1.4181,                  2.087,                 0.5313,                0.54836,                0.43494,                0.17552,                 2.0408,                 1.7067,                  2.403,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.6777,                 1.3967,                 2.0664,                0.79844,                0.31915,                0.48406,                0.22721,                 1.8794,                 1.6689,                 2.2895,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5928,                 1.3158,                 1.9964,                0.54598,                0.52998,                0.58587,                0.27528,                 1.8794,                  1.518,                 2.2548,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.6203,                 1.3492,                 2.0272,                0.69413,                0.35783,                0.46463,                0.20157,                 2.0275,                 1.7081,                 2.4911,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.5795,                 1.3056,                 1.9655,                 0.5287,                0.27176,                0.35277,                0.14758,                 2.2068,                 2.1058,                 2.6392,               0.001835,               0.001835,               0.001835
                     28,                 1.5704,                 1.2938,                 1.9805,                0.63208,                 0.3675,                0.51681,                0.24159,                 1.9087,                  1.578,                 2.2379,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4928,                 1.2069,                   1.91,                0.52987,                 0.4942,                0.55843,                0.27683,                 1.9044,                 1.5666,                  2.227,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.5188,                 1.2168,                 1.9223,                0.55336,                0.41698,                0.50485,                0.27023,                 1.8067,                 1.5456,                 2.1841,              0.0018152,              0.0018152,              0.0018152
