epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,7.37G,0.06844,0.01328,0,0.08172,47,640,0.0307,0.05222,0.00613,0.00104,0.09452,0.02858,0
1/299,7.65G,0.06368,0.01247,0,0.07615,37,640,0.05838,0.0706,0.01529,0.00427,0.08507,0.03082,0
2/299,7.65G,0.05847,0.01232,0,0.07079,28,640,0.0572,0.0735,0.01566,0.00305,0.08594,0.03048,0
3/299,7.65G,0.05364,0.01241,0,0.06605,42,640,0.1901,0.08607,0.04238,0.009538,0.0809,0.03132,0
4/299,7.65G,0.04909,0.01213,0,0.06121,53,640,0.3594,0.1877,0.1461,0.04451,0.06737,0.03366,0
5/299,7.65G,0.04582,0.01204,0,0.05786,34,640,0.529,0.1905,0.1898,0.0595,0.06568,0.0333,0
6/299,7.65G,0.04321,0.01186,0,0.05507,42,640,0.6412,0.3801,0.419,0.1873,0.06399,0.03194,0
7/299,7.65G,0.04185,0.01166,0,0.05351,45,640,0.7598,0.3646,0.4562,0.2011,0.06548,0.03107,0
8/299,7.65G,0.04008,0.01095,0,0.05103,35,640,0.6074,0.4727,0.5198,0.2132,0.05854,0.03093,0
9/299,7.65G,0.03822,0.01002,0,0.04824,41,640,0.8176,0.3868,0.5589,0.1719,0.05846,0.03005,0
10/299,7.65G,0.03781,0.009994,0,0.0478,45,640,0.8323,0.3675,0.5234,0.2075,0.0614,0.0293,0
11/299,7.65G,0.0373,0.01028,0,0.04758,48,640,0.4214,0.5832,0.5253,0.1792,0.0599,0.02888,0
12/299,7.65G,0.03627,0.009892,0,0.04617,51,640,0.6072,0.5812,0.6555,0.2477,0.05886,0.02808,0
13/299,7.65G,0.03546,0.008697,0,0.04416,31,640,0.5546,0.558,0.596,0.2098,0.06308,0.02755,0
14/299,7.65G,0.03581,0.009198,0,0.04501,69,640,0.5705,0.6954,0.6353,0.2066,0.05804,0.02809,0
15/299,7.65G,0.03526,0.00807,0,0.04333,30,640,0.6214,0.6296,0.646,0.2992,0.06,0.02737,0
16/299,7.65G,0.03502,0.008071,0,0.04309,40,640,0.6734,0.7408,0.7489,0.3568,0.0591,0.02812,0
17/299,7.65G,0.03439,0.007968,0,0.04235,49,640,0.549,0.7553,0.6942,0.3713,0.05669,0.02766,0
18/299,7.65G,0.03388,0.007834,0,0.04172,61,640,0.6356,0.7292,0.7323,0.3629,0.05446,0.02793,0
19/299,7.65G,0.0332,0.007331,0,0.04053,47,640,0.7027,0.7224,0.7462,0.3181,0.05546,0.02664,0
20/299,7.65G,0.03319,0.007258,0,0.04045,37,640,0.6793,0.6721,0.7304,0.3509,0.0581,0.0281,0
21/299,7.65G,0.0332,0.007209,0,0.0404,48,640,0.7225,0.7276,0.7863,0.3547,0.05275,0.02713,0
22/299,7.65G,0.03195,0.006877,0,0.03883,54,640,0.6867,0.7379,0.7547,0.3678,0.05367,0.02684,0
23/299,7.65G,0.03189,0.00667,0,0.03856,54,640,0.641,0.8404,0.7775,0.3598,0.05276,0.02702,0
24/299,7.65G,0.03183,0.006813,0,0.03864,45,640,0.6904,0.7697,0.764,0.3288,0.05446,0.02747,0
25/299,7.65G,0.03184,0.006145,0,0.03798,37,640,0.7682,0.6025,0.7394,0.339,0.05199,0.02721,0
26/299,7.65G,0.03127,0.006384,0,0.03765,39,640,0.7233,0.7257,0.7538,0.388,0.05615,0.02754,0
27/299,7.65G,0.03018,0.00642,0,0.0366,63,640,0.6726,0.7263,0.7577,0.3957,0.05146,0.02737,0
28/299,7.65G,0.0304,0.006307,0,0.0367,56,640,0.7386,0.6913,0.7738,0.408,0.05373,0.0272,0
29/299,7.65G,0.03008,0.006144,0,0.03622,39,640,0.756,0.6605,0.7477,0.3442,0.05556,0.02709,0
30/299,7.65G,0.02964,0.005995,0,0.03563,54,640,0.6991,0.6875,0.7491,0.3863,0.05285,0.02801,0
31/299,7.65G,0.03533,0.005968,0,0.0413,53,640,0.5558,0.5329,0.5958,0.2769,0.0723,0.02864,0
32/299,7.65G,0.04167,0.007459,0,0.04913,46,640,0.01084,0.02418,0.002209,0.0006686,0.09872,0.03245,0
33/299,7.65G,0.05042,0.00891,0,0.05933,33,640,0,0,0,0,nan,nan,0
34/299,7.65G,0.05165,0.009481,0,0.06113,32,640,0,0,0,0,nan,nan,0
35/299,7.65G,0.05047,0.009952,0,0.06042,49,640,0,0,0,0,nan,nan,0
36/299,7.65G,0.05452,0.009232,0,0.06375,28,640,0,0,0,0,nan,nan,0
