epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,17.2G,0.07048,0.02528,0,0.09576,164,640,0.005956,0.4387,0.003751,0.00066,0.09614,0.02755,0
1/299,17.2G,0.06722,0.02075,0,0.08797,189,640,0.006162,0.5377,0.003414,0.00051,0.08837,0.02734,0
2/299,17.2G,0.06443,0.01983,0,0.08426,202,640,0.005521,0.5259,0.004307,0.0006461,0.08844,0.02641,0
3/299,17.2G,0.06274,0.01863,0,0.08137,202,640,0.006522,0.06604,0.002656,0.0004376,0.08861,0.02587,0
4/299,17.2G,0.06224,0.01909,0,0.08132,202,640,0.005423,0.5377,0.003734,0.0005624,0.08834,0.02565,0
5/299,17.2G,0.06241,0.01813,0,0.08054,208,640,0.005763,0.5519,0.003869,0.0006458,0.08964,0.02516,0
6/299,17.2G,0.06227,0.01778,0,0.08005,149,640,0.00525,0.5354,0.003604,0.0005708,0.08866,0.02526,0
7/299,17.2G,0.06109,0.01771,0,0.0788,186,640,0.01167,0.04481,0.002944,0.0004761,0.08803,0.0253,0
8/299,17.2G,0.06137,0.01746,0,0.07883,210,640,0.00599,0.5991,0.0044,0.0007855,0.08862,0.02517,0
9/299,17.2G,0.06119,0.01825,0,0.07944,181,640,0.005829,0.3491,0.003659,0.0006626,0.08874,0.02508,0
10/299,17.2G,0.06078,0.01719,0,0.07797,187,640,0.004302,0.4505,0.004047,0.0008036,0.08722,0.02527,0
11/299,17.2G,0.05989,0.0184,0,0.07829,232,640,0.01111,0.05896,0.006018,0.001064,0.08791,0.02511,0
12/299,17.2G,0.06042,0.0181,0,0.07852,221,640,0.02392,0.184,0.009977,0.001799,0.08708,0.02539,0
13/299,17.2G,0.05893,0.01788,0,0.07681,201,640,0.04606,0.1533,0.0198,0.003214,0.08339,0.02636,0
14/299,17.2G,0.05783,0.01926,0,0.07709,208,640,0.09845,0.2406,0.066,0.0127,0.07643,0.02788,0
15/299,17.2G,0.05611,0.01804,0,0.07414,203,640,0.1417,0.1792,0.07292,0.01446,0.0785,0.02705,0
16/299,17.2G,0.05542,0.01853,0,0.07395,215,640,0.1001,0.3019,0.06185,0.01104,0.07934,0.0263,0
17/299,17.2G,0.05579,0.01731,0,0.0731,210,640,0.1834,0.2925,0.11,0.02185,0.07715,0.02601,0
18/299,17.2G,0.05674,0.01592,0,0.07266,209,640,0.2287,0.2783,0.1573,0.03074,0.08201,0.02438,0
19/299,17.2G,0.05754,0.01569,0,0.07323,230,640,0.2895,0.3184,0.2253,0.05419,0.07898,0.02487,0
20/299,17.2G,0.05822,0.01543,0,0.07364,205,640,0.327,0.3208,0.2467,0.05212,0.08047,0.02466,0
21/299,17.2G,0.05785,0.0145,0,0.07235,176,640,0.395,0.3538,0.2831,0.06402,0.07691,0.024,0
