epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
51/299,17.4G,0.05059,0.01217,0,0.06277,217,640,0.01738,0.2571,0.01326,0.004215,0.1233,1.449,0
52/299,17.4G,0.05392,0.01174,0,0.06566,196,640,0.08776,0.4623,0.06359,0.01385,0.09909,0.03478,0
53/299,17.4G,0.05065,0.0115,0,0.06215,200,640,0.3794,0.4008,0.2481,0.08067,0.08623,0.02221,0
54/299,17.4G,0.0502,0.01101,0,0.06122,199,640,0.6311,0.4363,0.5031,0.21,0.08405,0.02147,0
55/299,17.4G,0.05046,0.01118,0,0.06164,160,640,0.63,0.4222,0.5056,0.1977,0.08046,0.02427,0
56/299,17.4G,0.05008,0.01146,0,0.06153,181,640,0.6718,0.5118,0.5829,0.2324,0.07855,0.02294,0
57/299,17.4G,0.04976,0.01178,0,0.06155,210,640,0.7126,0.6675,0.7152,0.3521,0.0765,0.02024,0
58/299,17.4G,0.04838,0.01151,0,0.05989,196,640,0.7979,0.7075,0.7663,0.3815,0.07298,0.01999,0
59/299,17.4G,0.04613,0.01112,0,0.05725,227,640,0.7278,0.7001,0.7575,0.4005,0.07139,0.02007,0
60/299,17.4G,0.04597,0.01121,0,0.05718,186,640,0.8061,0.6863,0.7716,0.3748,0.0712,0.02054,0
61/299,17.4G,0.04616,0.01123,0,0.0574,168,640,0.822,0.7404,0.8127,0.4112,0.07316,0.01905,0
62/299,17.4G,0.04648,0.01147,0,0.05795,233,640,0.8188,0.7142,0.8086,0.4211,0.07096,0.0198,0
63/299,17.4G,0.0462,0.01055,0,0.05675,193,640,0.8439,0.6884,0.8074,0.4234,0.07218,0.01904,0
64/299,17.4G,0.04569,0.01138,0,0.05706,239,640,0.7771,0.7236,0.7519,0.3758,0.07545,0.01899,0
65/299,17.4G,0.04438,0.01118,0,0.05556,236,640,0.8075,0.6344,0.752,0.3541,0.07558,0.01966,0
66/299,17.4G,0.04524,0.01125,0,0.05649,247,640,0.7556,0.7075,0.77,0.3671,0.07646,0.01936,0
