epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
50/299,17.7G,0.04726,0.008466,0,0.05572,47,640,0.8045,0.5849,0.6527,0.2926,0.07051,0.03582,0
51/299,17.7G,0.05203,0.009392,0,0.06142,37,640,0.217,0.472,0.2158,0.09484,0.07196,0.04354,0
52/299,17.7G,0.04417,0.009182,0,0.05335,39,640,0.01269,0.2853,0.006523,0.001683,0.08999,0.05216,0
53/299,17.7G,0.04081,0.009315,0,0.05013,50,640,0.4244,0.2689,0.2581,0.09568,0.0753,0.04619,0
54/299,17.7G,0.04799,0.008887,0,0.05687,45,640,0.6873,0.3559,0.475,0.2381,0.06794,0.03769,0
55/299,17.7G,0.04124,0.008929,0,0.05017,51,640,0.7755,0.3211,0.4232,0.2016,0.07013,0.03877,0
56/299,17.7G,0.04389,0.008539,0,0.05243,34,640,0.953,0.4516,0.6561,0.3486,0.08044,0.02937,0
57/299,17.7G,0.05461,0.008415,0,0.06303,34,640,0.702,0.4749,0.6179,0.3439,0.08109,0.02973,0
58/299,17.7G,0.05041,0.008134,0,0.05854,51,640,0.9005,0.4139,0.639,0.3389,0.07878,0.03054,0
59/299,17.7G,0.04269,0.008607,0,0.05129,54,640,0.5958,0.5774,0.6253,0.3285,0.07483,0.03277,0
60/299,17.7G,0.05242,0.008528,0,0.06095,50,640,0.65,0.6054,0.6524,0.3598,0.07014,0.03386,0
61/299,17.7G,0.0473,0.008313,0,0.05562,42,640,0.7132,0.5218,0.6446,0.3106,0.07063,0.0367,0
62/299,17.7G,0.0517,0.007483,0,0.05918,25,640,0.9017,0.4525,0.6288,0.3492,0.07181,0.03791,0
63/299,17.7G,0.04447,0.007941,0,0.05241,46,640,0.7999,0.5126,0.6599,0.3711,0.06887,0.03725,0
64/299,17.7G,0.0454,0.00796,0,0.05336,40,640,0.7811,0.5861,0.7011,0.3606,0.06982,0.03345,0
65/299,17.7G,0.05174,0.007603,0,0.05934,44,640,0.6611,0.647,0.7024,0.3806,0.0656,0.03464,0
66/299,17.7G,0.04825,0.007841,0,0.05609,47,640,0.6334,0.6267,0.6774,0.3504,0.06539,0.03556,0
67/299,17.7G,0.05123,0.007568,0,0.0588,42,640,0.7756,0.4947,0.6665,0.3547,0.07255,0.03203,0
68/299,17.7G,0.04111,0.007671,0,0.04879,46,640,0.8446,0.5551,0.7341,0.3703,0.07682,0.02977,0
69/299,17.7G,0.04305,0.007491,0,0.05054,29,640,0.6448,0.7079,0.7556,0.4121,0.07326,0.03042,0
70/299,17.7G,0.04255,0.007786,0,0.05033,56,640,0.6683,0.7176,0.7437,0.4063,0.07214,0.03191,0
71/299,17.7G,0.04078,0.00785,0,0.04863,36,640,0.8302,0.572,0.699,0.3806,0.07022,0.03405,0
72/299,17.7G,0.04247,0.00796,0,0.05043,78,640,0.8535,0.4981,0.7014,0.3612,0.06683,0.03586,0
73/299,17.7G,0.03884,0.007417,0,0.04625,25,640,0.8101,0.5735,0.7222,0.4103,0.06296,0.03634,0
74/299,17.7G,0.0409,0.007701,0,0.0486,40,640,0.6237,0.7485,0.7585,0.3882,0.06238,0.03483,0
75/299,17.7G,0.03985,0.008097,0,0.04795,59,640,0.7326,0.6518,0.7545,0.3998,0.06154,0.03496,0
76/299,17.7G,0.03886,0.007334,0,0.04619,50,640,0.7582,0.555,0.7283,0.4036,0.06465,0.03381,0
77/299,17.7G,0.03723,0.007593,0,0.04483,36,640,0.6481,0.7125,0.72,0.388,0.07132,0.03116,0
78/299,17.7G,0.03974,0.007105,0,0.04685,34,640,0.5392,0.7466,0.6836,0.3666,0.07605,0.03163,0
79/299,17.7G,0.03952,0.007085,0,0.04661,46,640,0.7194,0.6335,0.7156,0.3557,0.07797,0.0313,0
80/299,17.7G,0.04038,0.007336,0,0.04771,41,640,0.8256,0.5841,0.6891,0.3653,0.07746,0.03124,0
81/299,17.7G,0.03699,0.007282,0,0.04427,50,640,0.787,0.5329,0.6843,0.3794,0.07665,0.03317,0
82/299,17.7G,0.03859,0.007357,0,0.04595,43,640,0.7787,0.6035,0.737,0.388,0.07382,0.03163,0
83/299,17.7G,0.03912,0.007354,0,0.04648,51,640,0.806,0.5957,0.7416,0.4046,0.07188,0.032,0
84/299,17.7G,0.03901,0.007299,0,0.04631,59,640,0.7916,0.5364,0.729,0.4002,0.07035,0.03403,0
85/299,17.7G,0.03559,0.007213,0,0.0428,43,640,0.6304,0.744,0.7559,0.3975,0.06765,0.03425,0
86/299,17.7G,0.03682,0.007061,0,0.04388,43,640,0.7198,0.6141,0.733,0.3983,0.06445,0.03531,0
87/299,17.7G,0.0393,0.007211,0,0.04651,34,640,0.5879,0.6969,0.7125,0.379,0.06467,0.035,0
88/299,17.7G,0.04034,0.007367,0,0.0477,52,640,0.8417,0.5716,0.7027,0.3635,0.06793,0.03645,0
89/299,17.7G,0.03839,0.00719,0,0.04558,36,640,0.8521,0.5368,0.6902,0.3829,0.07126,0.03358,0
90/299,17.7G,0.03689,0.007565,0,0.04446,53,640,0.6324,0.6556,0.7083,0.3678,0.0728,0.03274,0
91/299,17.7G,0.03663,0.007229,0,0.04386,29,640,0.7255,0.5085,0.6675,0.3523,0.07261,0.03362,0
92/299,17.7G,0.03843,0.00706,0,0.04549,31,640,0.5997,0.736,0.7122,0.3618,0.07223,0.03305,0
93/299,17.7G,0.03836,0.006666,0,0.04502,40,640,0.5604,0.648,0.6645,0.3638,0.07293,0.0335,0
94/299,17.7G,0.03733,0.007097,0,0.04443,33,640,0.574,0.5725,0.6519,0.341,0.07384,0.03488,0
95/299,17.7G,0.037,0.007284,0,0.04428,41,640,0.6225,0.6422,0.7066,0.37,0.07413,0.03175,0
96/299,17.7G,0.03798,0.007057,0,0.04503,43,640,0.5275,0.7718,0.7051,0.3575,0.07436,0.0327,0
97/299,17.7G,0.03762,0.007409,0,0.04503,55,640,0.6555,0.6296,0.7017,0.3835,0.07589,0.03207,0
98/299,17.7G,0.03567,0.007021,0,0.04269,52,640,0.7844,0.5919,0.7266,0.3698,0.07572,0.03253,0
99/299,17.7G,0.03307,0.007027,0,0.0401,36,640,0.7565,0.6315,0.7477,0.3771,0.0746,0.03281,0
100/299,17.7G,0.03208,0.006625,0,0.0387,36,640,0.7203,0.6276,0.7312,0.3832,0.07326,0.03333,0
101/299,17.7G,0.03539,0.006992,0,0.04238,39,640,0.7396,0.6451,0.7655,0.3994,0.07386,0.03148,0
102/299,17.7G,0.0325,0.006706,0,0.03921,35,640,0.6738,0.6663,0.732,0.4013,0.07265,0.032,0
103/299,17.7G,0.03413,0.006899,0,0.04103,51,640,0.6563,0.6306,0.6929,0.3835,0.0716,0.03417,0
104/299,17.7G,0.03556,0.006572,0,0.04213,37,640,0.7217,0.5619,0.6973,0.3881,0.07211,0.03488,0
105/299,17.7G,0.03281,0.006855,0,0.03967,56,640,0.7802,0.5725,0.7224,0.3961,0.0723,0.03512,0
106/299,17.7G,0.03468,0.006893,0,0.04157,55,640,0.8349,0.5677,0.7307,0.3756,0.07242,0.03407,0
107/299,17.7G,0.03425,0.006713,0,0.04096,57,640,0.5803,0.7234,0.6867,0.3774,0.07244,0.03646,0
108/299,17.7G,0.03471,0.00648,0,0.04119,46,640,0.6983,0.587,0.6664,0.3483,0.07252,0.0371,0
109/299,17.7G,0.03464,0.006926,0,0.04157,40,640,0.6401,0.6412,0.6595,0.3446,0.07198,0.03584,0
110/299,17.7G,0.03516,0.006946,0,0.04211,36,640,0.6398,0.6586,0.6766,0.3379,0.07159,0.03463,0
111/299,17.7G,0.0352,0.006513,0,0.04172,37,640,0.5846,0.705,0.6985,0.3627,0.07054,0.03489,0
112/299,17.7G,0.03536,0.006777,0,0.04214,33,640,0.7101,0.5745,0.7032,0.3513,0.07103,0.0355,0
113/299,17.7G,0.03535,0.006584,0,0.04193,40,640,0.7082,0.6782,0.7661,0.4125,0.0691,0.03427,0
114/299,17.7G,0.03487,0.007024,0,0.04189,44,640,0.7522,0.6286,0.7602,0.4071,0.06993,0.03396,0
115/299,17.7G,0.03158,0.006627,0,0.03821,35,640,0.8414,0.6311,0.7851,0.4275,0.06937,0.03374,0
116/299,17.7G,0.03217,0.006408,0,0.03858,45,640,0.7328,0.6799,0.7449,0.3922,0.06991,0.03557,0
117/299,17.7G,0.03302,0.006484,0,0.0395,40,640,0.6622,0.6219,0.6917,0.3583,0.07162,0.03747,0
118/299,17.7G,0.0345,0.006546,0,0.04105,39,640,0.6254,0.6798,0.7117,0.3503,0.07114,0.03689,0
119/299,17.7G,0.03571,0.006679,0,0.04239,52,640,0.6529,0.7021,0.7209,0.3864,0.06934,0.03739,0
120/299,17.7G,0.03355,0.006634,0,0.04018,49,640,0.7143,0.7379,0.7466,0.3968,0.06904,0.035,0
121/299,17.7G,0.0311,0.006598,0,0.0377,46,640,0.7349,0.6032,0.7072,0.3829,0.06888,0.03539,0
122/299,17.7G,0.0307,0.00669,0,0.03739,36,640,0.749,0.6233,0.7154,0.3948,0.06907,0.03646,0
123/299,17.7G,0.03274,0.006464,0,0.0392,36,640,0.8607,0.587,0.74,0.3783,0.06976,0.03707,0
124/299,17.7G,0.03441,0.00649,0,0.0409,38,640,0.7555,0.5832,0.696,0.3685,0.06953,0.03793,0
125/299,17.7G,0.03232,0.006605,0,0.03892,42,640,0.6769,0.5753,0.6425,0.3208,0.07059,0.04075,0
126/299,17.7G,0.03287,0.006417,0,0.03928,34,640,0.7618,0.5569,0.6803,0.3476,0.0695,0.03796,0
127/299,17.7G,0.03039,0.006338,0,0.03673,57,640,0.7918,0.614,0.7262,0.3776,0.06919,0.03735,0
128/299,17.7G,0.03019,0.006258,0,0.03645,52,640,0.8408,0.572,0.7328,0.3869,0.07052,0.03527,0
129/299,17.7G,0.03385,0.006297,0,0.04015,36,640,0.878,0.5638,0.7474,0.3943,0.07038,0.03474,0
130/299,17.7G,0.03502,0.006725,0,0.04175,41,640,0.6556,0.6369,0.6923,0.3617,0.07089,0.03683,0
131/299,17.7G,0.03664,0.006116,0,0.04275,46,640,0.651,0.6112,0.6779,0.343,0.07094,0.03619,0
132/299,17.7G,0.03278,0.006506,0,0.03928,39,640,0.5685,0.6712,0.6831,0.3437,0.07133,0.03634,0
133/299,17.7G,0.0344,0.006616,0,0.04101,46,640,0.83,0.5387,0.7189,0.3578,0.07194,0.03665,0
134/299,17.7G,0.03212,0.006515,0,0.03864,49,640,0.6528,0.6109,0.6952,0.3453,0.07112,0.03743,0
135/299,17.7G,0.0322,0.006113,0,0.03832,39,640,0.7111,0.6093,0.7223,0.3741,0.06959,0.0362,0
136/299,17.7G,0.03203,0.006199,0,0.03822,45,640,0.6416,0.6595,0.7322,0.3755,0.07025,0.03622,0
137/299,17.7G,0.03276,0.006243,0,0.03901,48,640,0.6207,0.7176,0.749,0.3882,0.06851,0.03614,0
138/299,17.7G,0.0349,0.006089,0,0.04099,58,640,0.6226,0.6237,0.7066,0.35,0.06917,0.03726,0
139/299,17.7G,0.03449,0.0062,0,0.04069,42,640,0.6346,0.589,0.7049,0.3602,0.06994,0.0368,0
140/299,17.7G,0.03109,0.006116,0,0.03721,40,640,0.5682,0.6161,0.6713,0.3499,0.0705,0.03734,0
141/299,17.7G,0.03364,0.005937,0,0.03958,34,640,0.4636,0.7099,0.6465,0.3272,0.06979,0.0382,0
142/299,17.7G,0.03131,0.006166,0,0.03748,43,640,0.6529,0.4787,0.5977,0.3181,0.06954,0.04081,0
143/299,17.7G,0.0324,0.00635,0,0.03875,48,640,0.5617,0.5725,0.6051,0.327,0.07039,0.04217,0
144/299,17.7G,0.03236,0.006594,0,0.03896,51,640,0.5426,0.6597,0.6611,0.3346,0.06976,0.0392,0
145/299,17.7G,0.03303,0.00614,0,0.03917,32,640,0.5591,0.6779,0.6728,0.3453,0.06986,0.0394,0
146/299,17.7G,0.03202,0.006151,0,0.03817,41,640,0.6273,0.5609,0.6504,0.3396,0.07049,0.04049,0
147/299,17.7G,0.03288,0.00632,0,0.0392,46,640,0.6728,0.5985,0.7149,0.3655,0.06998,0.03806,0
148/299,17.7G,0.03066,0.006326,0,0.03699,37,640,0.6334,0.7505,0.7345,0.3793,0.06837,0.03723,0
149/299,17.7G,0.03327,0.006191,0,0.03947,57,640,0.6177,0.7408,0.7345,0.3925,0.06769,0.03801,0
150/299,17.7G,0.03112,0.006337,0,0.03746,56,640,0.6918,0.6708,0.745,0.399,0.06702,0.03876,0
151/299,17.7G,0.03163,0.006144,0,0.03778,51,640,0.6855,0.6103,0.7219,0.3827,0.06724,0.03869,0
152/299,17.7G,0.0308,0.006061,0,0.03686,31,640,0.7264,0.5551,0.6843,0.3695,0.0687,0.04039,0
153/299,17.7G,0.03077,0.006147,0,0.03691,48,640,0.7774,0.5607,0.7106,0.3785,0.06812,0.03848,0
154/299,17.7G,0.03169,0.005962,0,0.03765,46,640,0.7706,0.5327,0.6874,0.3675,0.06789,0.04024,0
155/299,17.7G,0.03117,0.006248,0,0.03742,51,640,0.7115,0.5435,0.6613,0.3583,0.0682,0.04238,0
156/299,17.7G,0.0303,0.005853,0,0.03615,44,640,0.769,0.5609,0.6933,0.3721,0.06831,0.04055,0
157/299,17.7G,0.03205,0.006066,0,0.03811,44,640,0.8168,0.5435,0.7168,0.3757,0.06843,0.03974,0
158/299,17.7G,0.03151,0.005951,0,0.03746,38,640,0.7086,0.6092,0.7333,0.3848,0.06808,0.03852,0
159/299,17.7G,0.03326,0.005818,0,0.03908,46,640,0.8147,0.5542,0.7198,0.369,0.06888,0.03827,0
160/299,17.7G,0.03093,0.005793,0,0.03672,28,640,0.7394,0.6615,0.7349,0.3783,0.06811,0.03781,0
161/299,17.7G,0.0295,0.006079,0,0.03558,37,640,0.7658,0.6518,0.7476,0.3904,0.06725,0.03755,0
162/299,17.7G,0.0326,0.006049,0,0.03865,40,640,0.6559,0.6402,0.716,0.3626,0.06709,0.03976,0
163/299,17.7G,0.03231,0.006193,0,0.0385,54,640,0.7824,0.5077,0.659,0.35,0.06725,0.04087,0
