                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5896,                 4.0581,                 4.3154,                0.00314,                0.21083,                 0.0032,                 0.0013,                 3.9705,                 3.7883,                 4.1585,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 3.6038,                 4.0639,                 4.3455,                0.00326,                 0.2118,                0.00361,                0.00137,                 3.9728,                 3.7815,                 4.1599,             0.00010675,             0.00010675,             0.00010675
                      3,                  3.617,                 3.9484,                 4.2771,                0.00316,                0.21083,                0.00356,                0.00129,                 3.9781,                 3.8237,                  4.165,             0.00016314,             0.00016314,             0.00016314
                      4,                 3.4863,                 3.5657,                 4.1094,                0.00314,                0.21083,                0.00447,                0.00131,                 3.9995,                 3.8643,                 4.1924,             0.00021915,             0.00021915,             0.00021915
                      5,                 3.2269,                  3.003,                 3.8358,                0.00356,                0.05803,                0.00742,                0.00198,                 4.0637,                 6.9093,                 4.3395,             0.00027478,             0.00027478,             0.00027478
                      6,                 2.9615,                  2.855,                 3.6288,                0.00357,                0.19052,                0.00337,                0.00117,                 4.0575,                 3.8168,                 4.2252,             0.00033004,             0.00033004,             0.00033004
                      7,                  2.824,                  2.689,                 3.4807,                 0.0341,                0.10058,                0.00658,                0.00198,                    nan,                    nan,                    nan,             0.00038492,             0.00038492,             0.00038492
                      8,                 2.6164,                 2.5343,                 3.2461,                0.02374,                0.20696,                0.01248,                 0.0037,                    nan,                    nan,                    nan,             0.00043943,             0.00043943,             0.00043943
                      9,                  2.535,                 2.4664,                 3.1049,                 0.0032,                0.19923,                0.00244,                0.00104,                    nan,                    nan,                    nan,             0.00049356,             0.00049356,             0.00049356
                     10,                 2.5307,                 2.4095,                 3.0674,                 0.0032,                0.19923,                0.00244,                0.00104,                    nan,                    nan,                    nan,             0.00054731,             0.00054731,             0.00054731
                     11,                 2.3952,                 2.3111,                 2.8783,                 0.0032,                0.19923,                0.00244,                0.00104,                    nan,                    nan,                    nan,             0.00060068,             0.00060068,             0.00060068
                     12,                 2.3445,                 2.2253,                 2.8245,                 0.0032,                0.19923,                0.00244,                0.00104,                    nan,                    nan,                    nan,             0.00065368,             0.00065368,             0.00065368
                     13,                 2.2315,                 2.0791,                 2.6595,                0.03012,                0.23985,                0.01486,                0.00391,                    nan,                    nan,                    nan,             0.00068573,             0.00068573,             0.00068573
                     14,                 2.2232,                 2.1506,                 2.6576,                0.02206,                0.30948,                0.01355,                0.00353,                    nan,                    nan,                    nan,             0.00068573,             0.00068573,             0.00068573
                     15,                 2.2266,                 2.0634,                 2.6343,                0.00809,                0.55609,                0.00637,                 0.0022,                    nan,                    nan,                    nan,             0.00068337,             0.00068337,             0.00068337
                     16,                 2.1284,                 1.9812,                 2.4916,                 0.0142,                0.56093,                0.01329,                0.00353,                 3.3781,                    inf,                 8.1199,             0.00068101,             0.00068101,             0.00068101
                     17,                 2.0809,                 1.9934,                 2.5272,                 0.0142,                0.56093,                0.01329,                0.00353,                    nan,                    nan,                    nan,             0.00067866,             0.00067866,             0.00067866
                     18,                 2.0599,                 1.8821,                 2.4767,                0.00096,                0.06383,                0.00051,                0.00016,                    nan,                    nan,                    nan,              0.0006763,              0.0006763,              0.0006763
                     19,                 1.9652,                 1.8312,                 2.3944,                0.01654,                0.39072,                0.01344,                0.00483,                  2.779,                    inf,                  11.26,             0.00067394,             0.00067394,             0.00067394
                     20,                 1.9025,                 1.7767,                 2.3204,                0.04122,                0.41779,                0.03787,                0.01248,                 2.9512,                    inf,                  5.517,             0.00067159,             0.00067159,             0.00067159
                     21,                 1.8746,                 1.6961,                 2.2924,                0.13211,                0.30271,                0.07525,                0.02168,                 2.9971,                 13.492,                 4.0423,             0.00066923,             0.00066923,             0.00066923
                     22,                 1.8232,                 1.6218,                 2.2877,                0.16208,                0.10832,                0.05188,                0.01537,                  2.946,                    inf,                 4.4446,             0.00066688,             0.00066688,             0.00066688
                     23,                 1.7555,                 1.5495,                 2.1521,                0.06279,                0.41103,                0.04408,                0.02043,                 2.0872,                    inf,                 3.0495,             0.00066452,             0.00066452,             0.00066452
                     24,                 1.8112,                 1.6509,                 2.2206,                0.06279,                0.41103,                0.04408,                0.02043,                    nan,                    nan,                    nan,             0.00066216,             0.00066216,             0.00066216
                     25,                 1.7493,                 1.5636,                 2.1511,                 0.0223,                0.00387,                0.00292,                0.00205,                    nan,                    nan,                    nan,             0.00065981,             0.00065981,             0.00065981
                     26,                 1.6691,                 1.5143,                 2.0759,                0.03634,                0.09188,                0.00926,                0.00396,                    nan,                    nan,                    nan,             0.00065745,             0.00065745,             0.00065745
                     27,                 1.6705,                 1.4035,                 2.0695,                 0.2913,                0.41819,                0.18933,                0.08984,                 2.0119,                  7.854,                 2.7877,             0.00065509,             0.00065509,             0.00065509
                     28,                 1.6077,                 1.4186,                 2.0321,                0.03104,                    0.5,                0.02434,                0.00993,                    nan,                    nan,                    nan,             0.00065274,             0.00065274,             0.00065274
                     29,                 1.6435,                 1.4066,                 2.0327,                0.03511,                0.62766,                0.03078,                0.01139,                   2.39,                    inf,                 4.6218,             0.00065038,             0.00065038,             0.00065038
                     30,                 1.6498,                 1.4317,                 2.0563,                0.02346,                0.31528,                0.01647,                0.00506,                 3.4156,                    inf,                 4.1132,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.6417,                 1.4267,                 2.0308,                0.02961,                0.15957,                0.01789,                 0.0058,                 3.1608,                 28.138,                 3.7691,             0.00064567,             0.00064567,             0.00064567
                     32,                 1.6166,                 1.3324,                 2.0018,                0.36286,                0.42961,                0.35977,                0.13704,                 2.1237,                 4.8933,                 2.9515,             0.00064331,             0.00064331,             0.00064331
                     33,                 1.5861,                 1.3493,                 1.9763,                0.18896,                0.43037,                0.12033,                0.04917,                 2.1849,                  10.91,                 3.1231,             0.00064096,             0.00064096,             0.00064096
                     34,                 1.5366,                 1.2954,                 1.9225,                0.46546,                0.38588,                0.39054,                0.16461,                 2.0181,                 4.1385,                 2.6804,              0.0006386,              0.0006386,              0.0006386
                     35,                 1.5702,                 1.3264,                 1.9863,                0.40495,                0.44101,                0.31857,                 0.1308,                 2.2747,                 2.7286,                 3.3171,             0.00063625,             0.00063625,             0.00063625
                     36,                 1.4882,                 1.2273,                 1.8722,                 0.3568,                0.45551,                0.27781,                0.13134,                 1.9801,                 4.3134,                 2.6628,             0.00063389,             0.00063389,             0.00063389
                     37,                 1.4901,                  1.188,                 1.8821,                0.29129,                0.39845,                0.25061,                0.09845,                 2.1575,                  2.926,                  2.685,             0.00063153,             0.00063153,             0.00063153
                     38,                 1.4631,                 1.1636,                 1.8471,                0.72106,                 0.4425,                0.55266,                0.24411,                 2.0042,                 1.7902,                 2.7942,             0.00062918,             0.00062918,             0.00062918
                     39,                 1.5038,                 1.1926,                  1.856,                0.58647,                0.41006,                0.43255,                0.19458,                 2.0542,                  2.392,                 2.6872,             0.00062682,             0.00062682,             0.00062682
                     40,                 1.5052,                 1.2192,                 1.8888,                0.05321,                0.60445,                0.04528,                0.01764,                 2.2948,                    inf,                 3.4678,             0.00062446,             0.00062446,             0.00062446
                     41,                 1.4564,                 1.2028,                 1.8522,                0.06083,                0.72147,                0.06231,                0.02761,                 1.9172,                    inf,                 2.6776,             0.00062211,             0.00062211,             0.00062211
                     42,                 1.5034,                 1.2779,                 1.8787,                0.09644,                0.52708,                0.08865,                0.03366,                 2.1542,                 11.073,                 3.0922,             0.00061975,             0.00061975,             0.00061975
                     43,                 1.4681,                 1.1746,                 1.8695,                0.19085,                0.28723,                0.11592,                0.05451,                 2.1243,                 5.1588,                 2.5526,              0.0006174,              0.0006174,              0.0006174
                     44,                 1.4692,                 1.1625,                 1.8176,                0.57745,                  0.415,                0.41306,                0.20069,                 1.9539,                 2.3185,                 2.4767,             0.00061504,             0.00061504,             0.00061504
                     45,                 1.4464,                 1.1696,                 1.8459,                    0.4,                0.50934,                0.43652,                 0.1849,                  2.054,                 4.2187,                 2.8873,             0.00061268,             0.00061268,             0.00061268
                     46,                 1.3852,                 1.1147,                 1.7938,                0.44217,                0.40135,                0.39734,                0.17528,                 2.0515,                 2.1104,                 2.5915,             0.00061033,             0.00061033,             0.00061033
                     47,                 1.3886,                 1.0841,                 1.7836,                0.51743,                0.52515,                0.51888,                0.18894,                 2.1721,                 2.3774,                 3.1506,             0.00060797,             0.00060797,             0.00060797
                     48,                 1.3779,                 1.0859,                 1.7517,                0.45955,                0.44004,                0.36119,                0.18667,                 1.9214,                 2.7508,                 2.5727,             0.00060561,             0.00060561,             0.00060561
                     49,                 1.3991,                 1.1243,                 1.7903,                0.66961,                0.41973,                0.50109,                 0.2398,                 1.8776,                 1.9298,                 2.3446,             0.00060326,             0.00060326,             0.00060326
                     50,                 1.3924,                 1.0879,                 1.7702,                0.82425,                0.38201,                0.54748,                0.27557,                  1.809,                 1.7276,                 2.3376,              0.0006009,              0.0006009,              0.0006009
                     51,                 1.3356,                 1.0485,                 1.7079,                0.60748,                0.58511,                0.61522,                0.24442,                 1.9711,                 1.9472,                   2.54,             0.00059855,             0.00059855,             0.00059855
                     52,                 1.4126,                    1.1,                 1.8122,                0.43216,                0.33172,                0.27778,                0.13425,                 1.9399,                 3.3102,                 2.5118,             0.00059619,             0.00059619,             0.00059619
                     53,                  1.434,                 1.0574,                 1.7795,                0.51883,                0.44632,                0.46067,                 0.2007,                 1.9397,                 3.2339,                 2.5977,             0.00059383,             0.00059383,             0.00059383
                     54,                 1.3535,                 1.0584,                  1.748,                0.69454,                0.43907,                0.55365,                0.30903,                 1.8178,                 1.4796,                  2.191,             0.00059148,             0.00059148,             0.00059148
                     55,                 1.3273,                0.98536,                 1.7359,                0.52822,                 0.4971,                0.43406,                0.18075,                  2.088,                 2.0243,                 2.6737,             0.00058912,             0.00058912,             0.00058912
                     56,                 1.3887,                 1.0679,                 1.8118,                0.59095,                 0.5029,                0.50488,                0.25966,                 1.8615,                 1.8784,                 2.5148,             0.00058677,             0.00058677,             0.00058677
                     57,                 1.3768,                 1.0216,                 1.7255,                0.51929,                0.54255,                0.44213,                0.17691,                 2.0783,                  2.293,                 2.5575,             0.00058441,             0.00058441,             0.00058441
                     58,                 1.3561,                 1.0115,                 1.7136,                0.32181,                0.34429,                 0.2072,                0.08572,                 2.3374,                 4.7315,                 2.8921,             0.00058205,             0.00058205,             0.00058205
                     59,                 1.3164,                0.96599,                 1.7299,                0.45623,                0.51838,                0.36877,                0.16016,                  2.025,                 2.4761,                 2.6008,              0.0005797,              0.0005797,              0.0005797
                     60,                 1.3278,                 0.9681,                 1.6992,                0.48307,                0.56286,                0.42962,                0.19278,                 1.8295,                 3.2527,                 2.2996,             0.00057734,             0.00057734,             0.00057734
                     61,                  1.323,                 0.9937,                 1.7201,                0.40303,                0.60542,                0.46906,                0.22546,                 2.0217,                 2.0292,                 2.4274,             0.00057498,             0.00057498,             0.00057498
                     62,                 1.3249,                0.98383,                 1.7143,                0.54219,                 0.4971,                0.48891,                0.19163,                 1.9968,                 2.5318,                  2.749,             0.00057263,             0.00057263,             0.00057263
                     63,                 1.3299,                 1.0769,                 1.7559,                0.39847,                0.45164,                0.31843,                0.16417,                 1.7813,                  2.612,                 2.2147,             0.00057027,             0.00057027,             0.00057027
                     64,                 1.3195,                0.95931,                 1.6925,                0.33515,                0.40522,                0.36543,                0.17373,                 2.1275,                 2.5986,                 2.9174,             0.00056792,             0.00056792,             0.00056792
                     65,                  1.312,                0.96505,                 1.6961,                0.54446,                0.36557,                0.35245,                0.15845,                 2.1126,                 2.2205,                 2.6842,             0.00056556,             0.00056556,             0.00056556
                     66,                  1.308,                0.93748,                 1.6971,                0.47306,                0.53675,                0.40589,                0.18995,                 1.9499,                 2.9006,                 2.7526,              0.0005632,              0.0005632,              0.0005632
                     67,                  1.283,                 0.9407,                  1.678,                0.55617,                0.45551,                0.47416,                0.25042,                 1.8186,                 1.6094,                 2.2265,             0.00056085,             0.00056085,             0.00056085
                     68,                 1.3054,                0.96914,                 1.6908,                0.65968,                0.52321,                0.53417,                0.23887,                 1.8937,                 1.7554,                 2.4311,             0.00055849,             0.00055849,             0.00055849
                     69,                  1.252,                 0.9495,                  1.677,                0.67853,                0.58178,                0.63267,                0.33775,                 1.6188,                 1.4258,                 2.0763,             0.00055613,             0.00055613,             0.00055613
                     70,                 1.2869,                0.92848,                 1.6672,                0.63062,                0.57544,                0.59578,                 0.2708,                  1.841,                 1.6471,                 2.3399,             0.00055378,             0.00055378,             0.00055378
                     71,                 1.2715,                0.96626,                   1.69,                0.33583,                0.55996,                0.31736,                0.16328,                 1.7041,                 2.7876,                 2.1387,             0.00055142,             0.00055142,             0.00055142
                     72,                 1.2408,                0.92616,                 1.6401,                0.66324,                0.41586,                0.49466,                0.20332,                 2.0433,                 1.8621,                  2.621,             0.00054907,             0.00054907,             0.00054907
                     73,                 1.2464,                0.91355,                 1.6502,                0.23981,                0.33462,                0.16173,                 0.0749,                  1.898,                 6.9215,                 2.5397,             0.00054671,             0.00054671,             0.00054671
                     74,                 1.2076,                0.87188,                 1.6179,                0.32382,                0.38781,                0.22991,                0.10499,                 1.9781,                 4.0301,                 2.4463,             0.00054435,             0.00054435,             0.00054435
                     75,                 1.2307,                0.88745,                 1.6417,                 0.6041,                0.60209,                 0.6027,                0.26968,                 1.8825,                 1.8689,                 2.3911,               0.000542,               0.000542,               0.000542
                     76,                 1.2307,                 0.8681,                 1.6412,                0.75351,                0.59961,                0.64761,                0.31183,                 1.7819,                 1.4014,                 2.2762,             0.00053964,             0.00053964,             0.00053964
                     77,                 1.2526,                0.88574,                 1.6376,                 0.3333,                  0.647,                0.28226,                0.12011,                 1.8575,                 4.1986,                 2.3082,             0.00053728,             0.00053728,             0.00053728
                     78,                 1.2246,                0.87349,                 1.6128,                 0.6046,                0.48357,                0.51786,                 0.2589,                 1.8041,                 1.7825,                 2.2015,             0.00053493,             0.00053493,             0.00053493
                     79,                 1.2207,                0.84933,                 1.6048,                0.46947,                0.58124,                0.52008,                0.25921,                 1.8216,                  1.713,                 2.2643,             0.00053257,             0.00053257,             0.00053257
                     80,                 1.1846,                0.85075,                 1.5876,                0.40094,                0.60928,                0.42356,                0.22444,                 1.6456,                 2.5424,                 2.0863,             0.00053022,             0.00053022,             0.00053022
                     81,                 1.2066,                0.90774,                 1.6352,                0.58083,                0.37814,                0.41131,                0.16697,                 1.9728,                 2.6036,                 2.4985,             0.00052786,             0.00052786,             0.00052786
                     82,                 1.2848,                0.93502,                  1.677,                0.52782,                0.52648,                 0.4324,                0.21594,                 1.8061,                 2.4282,                 2.2422,              0.0005255,              0.0005255,              0.0005255
                     83,                 1.2173,                0.85751,                 1.6037,                0.49396,                0.54836,                0.48984,                0.24438,                 1.8562,                 1.9021,                 2.3367,             0.00052315,             0.00052315,             0.00052315
                     84,                 1.1987,                0.81144,                 1.5868,                0.66078,                0.57544,                0.63163,                0.27831,                 1.9669,                 1.3811,                 2.4372,             0.00052079,             0.00052079,             0.00052079
                     85,                 1.2596,                0.88174,                 1.6513,                0.42568,                0.68762,                0.52107,                0.23809,                 1.7906,                 1.8627,                 2.2703,             0.00051844,             0.00051844,             0.00051844
                     86,                 1.2184,                0.87117,                 1.6305,                0.48355,                0.58133,                0.47685,                0.25364,                 1.6332,                 1.9446,                 2.1334,             0.00051608,             0.00051608,             0.00051608
                     87,                 1.2177,                0.83634,                  1.617,                0.57433,                0.59762,                0.49546,                0.23981,                 1.7574,                 1.9343,                 2.2127,             0.00051372,             0.00051372,             0.00051372
                     88,                 1.2002,                0.84955,                   1.61,                0.61176,                0.42263,                 0.4397,                0.23039,                 1.7265,                 2.5249,                 2.2568,             0.00051137,             0.00051137,             0.00051137
                     89,                 1.2007,                0.86665,                 1.6154,                0.35276,                0.44012,                0.32862,                0.16422,                 2.0942,                 2.5916,                 2.6252,             0.00050901,             0.00050901,             0.00050901
                     90,                 1.2281,                0.86998,                 1.6641,                0.55648,                0.51257,                 0.4744,                0.22208,                 1.8036,                  2.051,                 2.2827,             0.00050665,             0.00050665,             0.00050665
                     91,                 1.1933,                 0.8686,                 1.6296,                0.18098,                0.48356,                0.15848,                0.08116,                 1.6515,                 8.5826,                 2.1114,              0.0005043,              0.0005043,              0.0005043
                     92,                 1.1728,                0.87118,                 1.6157,                0.27088,                0.60651,                0.23068,                0.11278,                 1.7573,                 5.5902,                  2.347,             0.00050194,             0.00050194,             0.00050194
                     93,                 1.2146,                0.84724,                  1.611,                0.48815,                0.65377,                0.43353,                0.20283,                 1.8078,                   2.49,                 2.2953,             0.00049959,             0.00049959,             0.00049959
                     94,                 1.2063,                0.86749,                 1.6193,                0.33483,                0.66344,                0.30299,                0.14928,                 1.6885,                 4.0942,                 2.1592,             0.00049723,             0.00049723,             0.00049723
                     95,                 1.1898,                0.84872,                 1.5969,                 0.3359,                0.62379,                0.29414,                0.15168,                 1.5979,                 3.3439,                  2.045,             0.00049487,             0.00049487,             0.00049487
                     96,                 1.1684,                0.82644,                 1.5577,                 0.4571,                0.59279,                0.40676,                0.21294,                 1.5989,                 2.4384,                 2.0037,             0.00049252,             0.00049252,             0.00049252
                     97,                 1.2031,                  0.846,                 1.6175,                0.44973,                0.57447,                0.38456,                0.19779,                 1.6179,                 2.6561,                 2.0139,             0.00049016,             0.00049016,             0.00049016
                     98,                 1.1517,                0.80218,                 1.5998,                0.59629,                0.61138,                0.57958,                0.31784,                 1.5698,                 1.6554,                 2.0543,              0.0004878,              0.0004878,              0.0004878
                     99,                  1.149,                0.79309,                 1.5862,                0.52265,                0.56015,                0.44839,                0.23201,                 1.6012,                 2.4515,                 2.1241,             0.00048545,             0.00048545,             0.00048545
                    100,                 1.1526,                0.77655,                 1.5377,                0.49636,                0.57253,                 0.4525,                0.22287,                 1.7272,                 2.0813,                 2.1196,             0.00048309,             0.00048309,             0.00048309
                    101,                 1.1456,                0.77105,                 1.5537,                0.44438,                0.59671,                0.39538,                0.19681,                 1.6347,                 2.4003,                 2.0028,             0.00048074,             0.00048074,             0.00048074
                    102,                 1.1751,                0.79403,                 1.5645,                0.49219,                 0.4352,                0.36704,                 0.1906,                 1.7061,                 2.5121,                 2.1339,             0.00047838,             0.00047838,             0.00047838
                    103,                 1.1477,                0.80692,                 1.5449,                 0.6487,                0.55513,                0.61486,                0.30842,                 1.6997,                 1.3969,                 2.1025,             0.00047602,             0.00047602,             0.00047602
                    104,                 1.1725,                0.78054,                 1.5558,                0.58692,                0.61972,                0.57692,                0.31843,                 1.5386,                 1.3365,                 1.9618,             0.00047367,             0.00047367,             0.00047367
                    105,                 1.1431,                0.79413,                 1.5455,                0.61732,                 0.6499,                0.65841,                0.32676,                 1.7721,                 1.2427,                 2.1751,             0.00047131,             0.00047131,             0.00047131
                    106,                 1.1416,                  0.801,                 1.5577,                0.60813,                0.55682,                0.55754,                0.28666,                 1.6227,                 1.5784,                  2.071,             0.00046896,             0.00046896,             0.00046896
                    107,                 1.1294,                0.78168,                 1.5507,                0.29451,                0.59865,                0.26345,                0.13735,                 1.5878,                  5.513,                 2.0848,              0.0004666,              0.0004666,              0.0004666
                    108,                 1.1471,                0.76625,                 1.5413,                0.67917,                0.46518,                0.54713,                0.28102,                 1.7012,                 1.5437,                 2.1549,             0.00046424,             0.00046424,             0.00046424
                    109,                   1.08,                0.73907,                 1.4841,                0.67517,                0.56084,                0.64363,                0.29296,                 1.9382,                 1.3623,                 2.3946,             0.00046189,             0.00046189,             0.00046189
                    110,                 1.1579,                0.74958,                 1.5729,                 0.6643,                0.59903,                0.64859,                0.33003,                 1.6292,                 1.3603,                 2.0236,             0.00045953,             0.00045953,             0.00045953
                    111,                 1.1505,                0.78194,                 1.5576,                0.58292,                 0.6069,                0.59366,                 0.3044,                  1.607,                 1.7131,                 2.0508,             0.00045717,             0.00045717,             0.00045717
                    112,                 1.1241,                0.75831,                 1.5377,                0.60344,                 0.4971,                0.58075,                0.31558,                 1.6502,                 1.3981,                 2.0979,             0.00045482,             0.00045482,             0.00045482
                    113,                 1.1422,                0.76748,                 1.5652,                0.63626,                0.61509,                 0.6164,                0.28272,                 1.8586,                 1.3905,                 2.3087,             0.00045246,             0.00045246,             0.00045246
                    114,                 1.1378,                0.78608,                  1.528,                0.60865,                0.60735,                0.62188,                0.31809,                 1.6747,                 1.3732,                 2.1372,             0.00045011,             0.00045011,             0.00045011
                    115,                 1.0795,                0.74936,                 1.5201,                0.70325,                0.64507,                0.68891,                0.38186,                 1.5493,                 1.0906,                 1.9757,             0.00044775,             0.00044775,             0.00044775
                    116,                 1.0936,                0.73692,                 1.5044,                0.68318,                0.58184,                0.61234,                0.29668,                 1.7769,                 1.4563,                 2.1527,             0.00044539,             0.00044539,             0.00044539
                    117,                  1.124,                0.76767,                 1.5415,                0.65145,                0.67118,                0.63693,                0.33101,                 1.7025,                 1.5366,                  2.137,             0.00044304,             0.00044304,             0.00044304
                    118,                 1.0889,                  0.706,                 1.5112,                0.64807,                0.66252,                0.66317,                0.33372,                 1.7191,                 1.2794,                 2.1627,             0.00044068,             0.00044068,             0.00044068
                    119,                 1.1259,                0.77846,                 1.5647,                0.63191,                0.59188,                0.56083,                0.29826,                 1.5767,                  1.606,                 2.0934,             0.00043832,             0.00043832,             0.00043832
                    120,                 1.1419,                0.74327,                 1.5574,                0.70406,                0.56093,                0.61417,                0.34074,                 1.5243,                 1.5462,                 2.0309,             0.00043597,             0.00043597,             0.00043597
                    121,                 1.1241,                0.73579,                 1.5503,                0.59302,                0.56649,                 0.5745,                0.29418,                  1.648,                 1.4201,                 2.0781,             0.00043361,             0.00043361,             0.00043361
                    122,                  1.124,                0.74834,                 1.5555,                0.58362,                0.58607,                0.61901,                0.33924,                 1.6207,                 1.2464,                 2.1258,             0.00043126,             0.00043126,             0.00043126
                    123,                 1.1185,                0.72291,                 1.5218,                0.69749,                0.65377,                0.68571,                0.38284,                 1.5698,                 1.1609,                 1.9634,              0.0004289,              0.0004289,              0.0004289
                    124,                 1.1484,                0.75337,                 1.5492,                0.71279,                0.53763,                0.62547,                0.34791,                 1.5232,                 1.2735,                 1.9631,             0.00042654,             0.00042654,             0.00042654
                    125,                 1.1124,                 0.7438,                 1.4794,                0.51561,                0.58221,                0.45819,                0.24001,                 1.6562,                 1.8549,                 2.0794,             0.00042419,             0.00042419,             0.00042419
                    126,                 1.0941,                0.73959,                 1.4909,                0.66779,                0.52031,                0.59981,                0.30776,                 1.6819,                 1.4885,                  2.091,             0.00042183,             0.00042183,             0.00042183
