epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
51/299,12.8G,0.0504,0.007615,0,0.05801,36,640,0.252,0.3897,0.2724,0.07832,0.07551,0.03085,0
52/299,12.8G,0.04937,0.008008,0,0.05738,33,640,0.02712,0.5754,0.02183,0.004845,0.1014,0.04581,0
53/299,12.8G,0.04944,0.008023,0,0.05746,46,640,0.2707,0.4632,0.2003,0.05144,0.1036,0.02691,0
54/299,12.8G,0.05057,0.007961,0,0.05853,44,640,0.439,0.4342,0.3795,0.119,0.0738,0.02932,0
55/299,12.8G,0.04786,0.008126,0,0.05598,38,640,0.2049,0.2814,0.1238,0.02659,0.09765,0.02795,0
56/299,12.8G,0.04738,0.007672,0,0.05505,50,640,0.3127,0.4511,0.2825,0.07998,0.0746,0.03247,0
57/299,12.8G,0.04776,0.007754,0,0.05551,45,640,0.3082,0.4489,0.2523,0.08666,0.07718,0.03265,0
58/299,12.8G,0.04598,0.007609,0,0.05359,42,640,0.343,0.3104,0.2696,0.09726,0.07816,0.02989,0
59/299,12.8G,0.05008,0.007538,0,0.05762,45,640,0.1882,0.3008,0.1152,0.0235,0.09734,0.02509,0
60/299,12.8G,0.05246,0.007886,0,0.06034,57,640,0.3025,0.5174,0.3357,0.1224,0.08517,0.02627,0
61/299,12.8G,0.04758,0.007513,0,0.05509,44,640,0.1826,0.1721,0.107,0.0334,0.1068,0.02682,0
62/299,12.8G,0.05101,0.008027,0,0.05904,55,640,0.06479,0.07658,0.0155,0.002861,0.09968,0.02917,0
63/299,12.8G,0.05021,0.007203,0,0.05741,37,640,0.1495,0.234,0.09222,0.02421,0.09117,0.03009,0
64/299,12.8G,0.04961,0.007313,0,0.05693,39,640,0.3076,0.2338,0.1621,0.03956,0.09276,0.02949,0
65/299,12.8G,0.05,0.007514,0,0.05751,57,640,0.2937,0.324,0.2838,0.1063,0.08123,0.02913,0
66/299,12.8G,0.04885,0.007621,0,0.05647,51,640,0.3609,0.3944,0.3466,0.1215,0.07777,0.02954,0
67/299,12.8G,0.04665,0.007879,0,0.05453,42,640,0.2875,0.5242,0.3268,0.1168,0.07511,0.02945,0
68/299,12.8G,0.04627,0.007672,0,0.05394,42,640,0.3495,0.5106,0.4072,0.1768,0.07406,0.03006,0
69/299,12.8G,0.04643,0.007514,0,0.05394,47,640,0.3842,0.3385,0.3551,0.1571,0.0737,0.03197,0
70/299,12.8G,0.04513,0.007561,0,0.05269,54,640,0.6966,0.3182,0.4674,0.2137,0.07118,0.03062,0
71/299,12.8G,0.0428,0.007261,0,0.05006,43,640,0.4205,0.6257,0.527,0.2183,0.0734,0.0301,0
72/299,12.8G,0.04392,0.007487,0,0.05141,38,640,0.4862,0.6015,0.5587,0.2481,0.07484,0.02854,0
73/299,12.8G,0.04586,0.007808,0,0.05367,45,640,0.5815,0.4439,0.5324,0.2243,0.07135,0.02974,0
74/299,12.8G,0.0433,0.007651,0,0.05095,41,640,0.5713,0.491,0.5559,0.2079,0.0718,0.02867,0
75/299,12.8G,0.04377,0.00719,0,0.05096,44,640,0.4831,0.6112,0.5859,0.2523,0.06964,0.02655,0
76/299,12.8G,0.04286,0.006749,0,0.0496,30,640,0.7352,0.4197,0.5859,0.2686,0.07144,0.0261,0
77/299,12.8G,0.04249,0.007096,0,0.04959,48,640,0.6476,0.5097,0.5755,0.2532,0.07187,0.02736,0
78/299,12.8G,0.04324,0.007176,0,0.05041,38,640,0.6469,0.5209,0.5818,0.2714,0.07056,0.02849,0
79/299,12.8G,0.0428,0.007311,0,0.05011,42,640,0.6451,0.4483,0.5415,0.2534,0.0696,0.02862,0
80/299,12.8G,0.04113,0.007024,0,0.04815,45,640,0.4643,0.4952,0.4686,0.2008,0.07215,0.02936,0
81/299,12.8G,0.03932,0.006795,0,0.04612,41,640,0.6655,0.5097,0.6086,0.2974,0.07068,0.02721,0
82/299,12.8G,0.03989,0.007097,0,0.04699,39,640,0.7728,0.4323,0.5961,0.2673,0.07071,0.02627,0
83/299,12.8G,0.04048,0.007097,0,0.04758,39,640,0.6238,0.5106,0.588,0.2939,0.06858,0.02975,0
84/299,12.8G,0.04075,0.007092,0,0.04784,52,640,0.5754,0.4952,0.5843,0.2847,0.06753,0.03069,0
85/299,12.8G,0.04092,0.006825,0,0.04775,54,640,0.5394,0.5735,0.5536,0.2661,0.06868,0.03273,0
86/299,12.8G,0.03742,0.006976,0,0.04439,54,640,0.6291,0.5619,0.6107,0.3052,0.07066,0.02943,0
87/299,12.8G,0.03985,0.007036,0,0.04689,49,640,0.6859,0.5667,0.653,0.2994,0.06778,0.02832,0
88/299,12.8G,0.03856,0.006918,0,0.04548,47,640,0.712,0.6015,0.6828,0.3261,0.06712,0.02883,0
89/299,12.8G,0.03747,0.007043,0,0.04451,52,640,0.7363,0.4971,0.6247,0.2932,0.06529,0.03018,0
90/299,12.8G,0.03906,0.006747,0,0.04581,54,640,0.5458,0.6335,0.5569,0.236,0.07721,0.03008,0
91/299,12.8G,0.04123,0.006627,0,0.04786,40,640,0.5336,0.4437,0.4866,0.2217,0.08204,0.03192,0
92/299,12.8G,0.04045,0.006561,0,0.04701,56,640,0.7452,0.444,0.5752,0.2783,0.07511,0.03195,0
93/299,12.8G,0.03774,0.006701,0,0.04444,53,640,0.7564,0.4584,0.5669,0.2838,0.07119,0.0336,0
94/299,12.8G,0.03862,0.006534,0,0.04515,37,640,0.7213,0.5754,0.674,0.34,0.06537,0.03086,0
95/299,12.8G,0.03857,0.006536,0,0.04511,36,640,0.7562,0.5948,0.7014,0.3244,0.06495,0.02968,0
96/299,12.8G,0.03743,0.006521,0,0.04395,53,640,0.7234,0.56,0.6756,0.3222,0.06435,0.02883,0
97/299,12.8G,0.03818,0.006352,0,0.04454,47,640,0.7585,0.568,0.6844,0.3419,0.06562,0.02857,0
98/299,12.8G,0.04136,0.006599,0,0.04796,51,640,0.604,0.6654,0.6832,0.3194,0.06891,0.02765,0
99/299,12.8G,0.03871,0.00613,0,0.04484,32,640,0.6665,0.5377,0.6317,0.3248,0.07305,0.02954,0
100/299,12.8G,0.03962,0.006539,0,0.04616,39,640,0.701,0.5827,0.6852,0.3285,0.06872,0.02877,0
101/299,12.8G,0.03692,0.006422,0,0.04334,32,640,0.723,0.5822,0.6659,0.303,0.06692,0.02894,0
102/299,12.8G,0.03928,0.006414,0,0.04569,44,640,0.7729,0.5925,0.6912,0.3341,0.06354,0.03014,0
103/299,12.8G,0.03875,0.006506,0,0.04526,45,640,0.6896,0.548,0.6199,0.2812,0.06609,0.03079,0
104/299,12.8G,0.03958,0.006569,0,0.04615,33,640,0.6694,0.5812,0.6586,0.3028,0.06437,0.03036,0
105/299,12.8G,0.03772,0.006236,0,0.04395,43,640,0.8055,0.53,0.6716,0.3106,0.06217,0.02997,0
106/299,12.8G,0.03644,0.006187,0,0.04262,37,640,0.7383,0.6006,0.7024,0.3359,0.06282,0.02984,0
107/299,12.8G,0.03951,0.006314,0,0.04583,41,640,0.6925,0.6468,0.7193,0.3205,0.06305,0.02931,0
108/299,12.8G,0.03821,0.00639,0,0.0446,44,640,0.6685,0.6007,0.6706,0.3268,0.06335,0.02836,0
109/299,12.8G,0.03825,0.006225,0,0.04448,47,640,0.6709,0.5657,0.6382,0.3076,0.06655,0.02796,0
110/299,12.8G,0.03639,0.006307,0,0.0427,51,640,0.4786,0.5803,0.5593,0.2786,0.06367,0.03148,0
111/299,12.8G,0.03623,0.006034,0,0.04226,39,640,0.6836,0.5358,0.6377,0.3059,0.06695,0.03199,0
112/299,12.8G,0.03692,0.006126,0,0.04304,53,640,0.6854,0.5783,0.6575,0.3204,0.06798,0.03069,0
113/299,12.8G,0.03784,0.006363,0,0.0442,45,640,0.7197,0.6151,0.6601,0.2989,0.06612,0.02965,0
114/299,12.8G,0.03789,0.006208,0,0.04409,53,640,0.7915,0.6228,0.7333,0.3503,0.06598,0.02766,0
115/299,12.8G,0.03854,0.006539,0,0.04508,42,640,0.8233,0.5619,0.7208,0.3525,0.06871,0.02733,0
116/299,12.8G,0.03885,0.006203,0,0.04505,41,640,0.7523,0.4728,0.5858,0.2971,0.06839,0.02993,0
117/299,12.8G,0.03555,0.006399,0,0.04195,59,640,0.8092,0.5203,0.6717,0.3147,0.0678,0.03068,0
118/299,12.8G,0.03601,0.006476,0,0.04248,50,640,0.6434,0.5938,0.6749,0.3297,0.06867,0.02819,0
119/299,12.8G,0.03523,0.006333,0,0.04156,47,640,0.7823,0.615,0.7744,0.3891,0.06701,0.02681,0
120/299,12.8G,0.03608,0.005981,0,0.04206,41,640,0.828,0.6006,0.7531,0.3792,0.06423,0.02882,0
121/299,12.8G,0.03487,0.006193,0,0.04107,50,640,0.8449,0.5742,0.7439,0.3677,0.06344,0.03038,0
122/299,12.8G,0.03546,0.005758,0,0.04122,26,640,0.76,0.5919,0.708,0.3785,0.06206,0.03152,0
123/299,12.8G,0.03593,0.00614,0,0.04207,46,640,0.8145,0.5658,0.7163,0.3656,0.05977,0.03127,0
124/299,12.8G,0.0347,0.006293,0,0.04099,46,640,0.8285,0.5609,0.7236,0.3557,0.06169,0.03039,0
125/299,12.8G,0.0346,0.006436,0,0.04103,52,640,0.8701,0.5851,0.7712,0.3974,0.06417,0.02844,0
126/299,12.8G,0.03583,0.006077,0,0.04191,41,640,0.7551,0.6141,0.7162,0.3609,0.06136,0.03058,0
127/299,12.8G,0.03566,0.006191,0,0.04185,40,640,0.7273,0.5135,0.6357,0.3095,0.0628,0.03076,0
128/299,12.8G,0.03401,0.005946,0,0.03995,54,640,0.7576,0.5629,0.6722,0.3391,0.06176,0.03135,0
129/299,12.8G,0.0349,0.006073,0,0.04097,32,640,0.6839,0.5609,0.6529,0.31,0.06248,0.03092,0
130/299,12.8G,0.03609,0.006082,0,0.04218,43,640,0.5966,0.5248,0.6148,0.3032,0.06265,0.03208,0
131/299,12.8G,0.0345,0.006091,0,0.04059,62,640,0.7254,0.5493,0.6805,0.3323,0.06419,0.0294,0
132/299,12.8G,0.03525,0.006175,0,0.04142,45,640,0.6743,0.5125,0.6228,0.3277,0.06469,0.03159,0
133/299,12.8G,0.0327,0.005908,0,0.03861,54,640,0.6178,0.5397,0.6373,0.3215,0.06864,0.03162,0
134/299,12.8G,0.03323,0.005802,0,0.03903,55,640,0.6712,0.5377,0.6524,0.3161,0.06888,0.03044,0
135/299,12.8G,0.03426,0.005723,0,0.03998,38,640,0.6438,0.4449,0.5724,0.2835,0.07081,0.03129,0
136/299,12.8G,0.03401,0.005888,0,0.0399,36,640,0.815,0.5629,0.6907,0.3311,0.07217,0.02988,0
137/299,12.8G,0.0341,0.006323,0,0.04042,64,640,0.7982,0.5319,0.6444,0.2997,0.07022,0.03048,0
138/299,12.8G,0.03375,0.005971,0,0.03972,44,640,0.7121,0.6083,0.6975,0.3306,0.06517,0.03048,0
139/299,12.8G,0.03476,0.005967,0,0.04073,46,640,0.6274,0.559,0.6217,0.2829,0.06532,0.03124,0
140/299,12.8G,0.03627,0.006164,0,0.04244,44,640,0.5222,0.6257,0.6423,0.3033,0.0666,0.03041,0
141/299,12.8G,0.03698,0.006123,0,0.04311,34,640,0.6846,0.632,0.692,0.3423,0.06806,0.02892,0
142/299,12.8G,0.03439,0.00627,0,0.04066,49,640,0.6739,0.6234,0.6857,0.3445,0.06873,0.02826,0
