epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
50/299,12.8G,0.05379,0.009983,0,0.06377,178,640,0.6865,0.4764,0.5289,0.264,0.06808,0.0248,0
51/299,12.8G,0.04897,0.01075,0,0.05971,217,640,0.7499,0.6153,0.7221,0.351,0.06671,0.02398,0
52/299,12.8G,0.05609,0.009891,0,0.06598,196,640,0.7235,0.8392,0.8279,0.4475,0.06518,0.02211,0
53/299,12.8G,0.058,0.009962,0,0.06796,200,640,0.6431,0.4505,0.4477,0.2193,0.07679,0.02551,0
54/299,12.8G,0.04949,0.009862,0,0.05935,199,640,0.7342,0.5566,0.6264,0.3252,0.07241,0.02332,0
55/299,12.8G,0.05706,0.009647,0,0.06671,160,640,0.8298,0.75,0.8411,0.4708,0.06993,0.02059,0
56/299,12.8G,0.0525,0.009603,0,0.0621,181,640,0.8154,0.8349,0.8765,0.5288,0.06959,0.02005,0
57/299,12.8G,0.05299,0.0097,0,0.06269,210,640,0.8484,0.8325,0.8921,0.524,0.06862,0.01986,0
58/299,12.8G,0.06015,0.009667,0,0.06982,196,640,0.8562,0.8443,0.8915,0.5491,0.06839,0.0192,0
59/299,12.8G,0.0526,0.009298,0,0.06189,227,640,0.9027,0.7241,0.8658,0.5227,0.07271,0.01886,0
60/299,12.8G,0.04606,0.009483,0,0.05554,186,640,0.8402,0.8184,0.8732,0.5054,0.07365,0.01901,0
61/299,12.8G,0.05209,0.009453,0,0.06154,168,640,0.9048,0.7854,0.8891,0.54,0.0737,0.01861,0
62/299,12.8G,0.04849,0.009721,0,0.05821,233,640,0.8311,0.7543,0.8472,0.4929,0.07592,0.02065,0
63/299,12.8G,0.05801,0.009471,0,0.06748,193,640,0.03301,0.2453,0.02143,0.003693,0.112,0.05837,0
64/299,12.8G,0.05853,0.01037,0,0.0689,239,640,0.05564,0.1651,0.01838,0.002522,0.1227,0.05029,0
65/299,12.8G,0.05617,0.009956,0,0.06612,236,640,0.215,0.2636,0.1272,0.03721,0.102,0.02512,0
66/299,12.8G,0.04423,0.00966,0,0.05389,247,640,0.823,0.7566,0.8261,0.4624,0.06953,0.02157,0
67/299,12.8G,0.05208,0.009643,0,0.06172,233,640,0.8578,0.7901,0.85,0.4681,0.06982,0.0219,0
68/299,12.8G,0.05316,0.009433,0,0.06259,209,640,0.8399,0.8325,0.8927,0.5231,0.0654,0.02223,0
69/299,12.8G,0.0574,0.009185,0,0.06659,188,640,0.8736,0.8514,0.9071,0.5699,0.06348,0.02053,0
70/299,12.8G,0.05905,0.009637,0,0.06869,197,640,0.9216,0.8317,0.907,0.5612,0.0595,0.02125,0
71/299,12.8G,0.04318,0.009686,0,0.05286,185,640,0.9058,0.8184,0.9038,0.5721,0.05895,0.02139,0
72/299,12.8G,0.04919,0.009003,0,0.05819,180,640,0.9095,0.83,0.9181,0.5626,0.06005,0.02171,0
73/299,12.8G,0.05067,0.009102,0,0.05977,201,640,0.7896,0.646,0.739,0.4187,0.06535,0.02383,0
74/299,12.8G,0.04356,0.009483,0,0.05304,213,640,0.868,0.5118,0.6112,0.3451,0.07119,0.02457,0
75/299,12.8G,0.04095,0.008913,0,0.04987,171,640,0.8388,0.4434,0.5477,0.2798,0.07599,0.02474,0
76/299,12.8G,0.06216,0.009141,0,0.0713,196,640,0.8184,0.4575,0.5447,0.2948,0.07516,0.02436,0
77/299,12.8G,0.0555,0.009151,0,0.06465,170,640,0.8987,0.5896,0.7003,0.387,0.06942,0.02431,0
78/299,12.8G,0.05548,0.008644,0,0.06412,187,640,0.8196,0.7072,0.8227,0.4602,0.07009,0.02164,0
79/299,12.8G,0.04703,0.008862,0,0.0559,212,640,0.9215,0.7476,0.8393,0.4978,0.07219,0.02003,0
80/299,12.8G,0.05123,0.009151,0,0.06038,204,640,0.9333,0.8253,0.9251,0.5724,0.06775,0.01877,0
81/299,12.8G,0.06145,0.00874,0,0.07019,200,640,0.8889,0.8325,0.9102,0.5843,0.06608,0.01993,0
82/299,12.8G,0.05479,0.009166,0,0.06396,208,640,0.936,0.8302,0.9216,0.5846,0.06491,0.01937,0
83/299,12.8G,0.06095,0.008667,0,0.06962,238,640,0.9234,0.882,0.9458,0.5987,0.06416,0.01933,0
84/299,12.8G,0.04611,0.008715,0,0.05483,185,640,0.9269,0.8679,0.9406,0.6067,0.06383,0.01883,0
85/299,12.8G,0.04424,0.00833,0,0.05257,157,640,0.9567,0.8344,0.9398,0.5932,0.06428,0.01897,0
86/299,12.8G,0.05797,0.008542,0,0.06651,183,640,0.9043,0.8915,0.9407,0.6007,0.06388,0.01887,0
87/299,12.8G,0.05584,0.008763,0,0.0646,224,640,0.9132,0.8939,0.9504,0.602,0.06373,0.01878,0
88/299,12.8G,0.04729,0.008756,0,0.05604,166,640,0.9082,0.8863,0.9421,0.594,0.06153,0.0197,0
89/299,12.8G,0.05348,0.008906,0,0.06238,228,640,0.9097,0.8795,0.9383,0.6054,0.0603,0.01946,0
90/299,12.8G,0.04965,0.008683,0,0.05833,177,640,0.9195,0.8891,0.9396,0.6056,0.06086,0.0196,0
91/299,12.8G,0.04338,0.008411,0,0.05179,188,640,0.9152,0.8939,0.9399,0.6021,0.06469,0.01918,0
92/299,12.8G,0.05445,0.008617,0,0.06306,194,640,0.9266,0.8937,0.9443,0.6019,0.06726,0.01853,0
93/299,12.8G,0.04643,0.008727,0,0.05515,217,640,0.9253,0.9053,0.9463,0.6048,0.0641,0.0193,0
94/299,12.8G,0.049,0.008304,0,0.05731,192,640,0.9531,0.8632,0.9414,0.5992,0.06513,0.01914,0
95/299,12.8G,0.04269,0.00886,0,0.05155,211,640,0.9107,0.9151,0.9395,0.6153,0.06811,0.01811,0
96/299,12.8G,0.04359,0.008268,0,0.05186,173,640,0.9099,0.9057,0.9414,0.6133,0.06826,0.01796,0
97/299,12.8G,0.04638,0.007857,0,0.05423,155,640,0.9195,0.889,0.9307,0.6076,0.06588,0.0185,0
98/299,12.8G,0.05118,0.008626,0,0.0598,169,640,0.8958,0.8512,0.9074,0.5629,0.06715,0.01968,0
99/299,12.8G,0.0547,0.008313,0,0.06302,206,640,0.9329,0.8538,0.9266,0.5828,0.06522,0.01971,0
100/299,12.8G,0.05403,0.008375,0,0.06241,222,640,0.6485,0.6266,0.6896,0.3698,0.07469,0.0265,0
101/299,12.8G,0.04886,0.008457,0,0.05732,195,640,0.8475,0.4882,0.6528,0.3588,0.07604,0.02731,0
102/299,12.8G,0.0556,0.008698,0,0.0643,164,640,0.7943,0.7382,0.8069,0.4516,0.06988,0.02436,0
103/299,12.8G,0.04731,0.008751,0,0.05606,210,640,0.8836,0.7877,0.8757,0.5311,0.06561,0.02234,0
104/299,12.8G,0.04759,0.008277,0,0.05586,158,640,0.9015,0.8418,0.9135,0.5768,0.06461,0.02063,0
105/299,12.8G,0.04752,0.008308,0,0.05583,235,640,0.9157,0.8961,0.9292,0.604,0.06298,0.01958,0
106/299,12.8G,0.05141,0.008025,0,0.05943,173,640,0.9378,0.8538,0.934,0.6228,0.06267,0.01952,0
107/299,12.8G,0.05203,0.007915,0,0.05995,176,640,0.9407,0.8607,0.9416,0.6328,0.0588,0.02041,0
108/299,12.8G,0.04701,0.008471,0,0.05549,204,640,0.9266,0.8631,0.9363,0.6326,0.0569,0.02109,0
109/299,12.8G,0.0446,0.008001,0,0.05261,181,640,0.8889,0.9053,0.9421,0.623,0.05903,0.01987,0
110/299,12.8G,0.04648,0.008139,0,0.05462,191,640,0.9089,0.8938,0.944,0.6232,0.06079,0.01909,0
