                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3488,                 3.6824,                 4.2079,                0.00321,                  0.206,                0.00287,                0.00132,                 3.9829,                 3.8523,                 4.1662,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.9597,                 3.1389,                 3.5901,                0.00337,                0.21567,                0.00279,                0.00102,                 3.9219,                 3.8579,                  4.118,               0.001216,               0.001216,               0.001216
                      3,                 2.7079,                 2.7881,                 3.1614,                0.04629,                0.10445,                0.01456,                0.00531,                 3.1117,                 50.397,                 8.8546,              0.0018279,              0.0018279,              0.0018279
                      4,                 2.4651,                    2.5,                 2.8806,                0.01256,                0.26209,                0.00771,                0.00321,                 2.7839,                    inf,                 12.556,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.2897,                 2.3222,                 2.6992,                0.07297,                 0.3443,                0.04811,                0.01881,                 2.3989,                 30.578,                 4.0732,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.1799,                 2.1637,                 2.5618,                0.12287,                0.39265,                0.10086,                0.02652,                  2.494,                 3.6628,                 2.9301,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.1101,                 2.0871,                 2.4542,                0.36157,                0.39749,                0.32601,                0.10088,                 2.3086,                 2.1967,                 2.7485,               0.001967,               0.001967,               0.001967
                      8,                 2.0468,                 2.0233,                 2.3949,                0.27899,                0.40812,                0.26677,                0.11976,                 2.0403,                 1.9599,                  2.353,              0.0019604,              0.0019604,              0.0019604
                      9,                  1.929,                 1.9165,                 2.3141,                0.31185,                0.38975,                0.26182,                0.08643,                 2.3061,                 3.4216,                  3.093,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.8638,                 1.8177,                 2.2197,                0.46688,                0.30754,                0.38399,                0.20286,                 1.9951,                 2.0324,                 2.4348,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.8566,                  1.783,                 2.1759,                0.54034,                0.50703,                0.51124,                0.21943,                  1.983,                 1.8107,                  2.392,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.7862,                 1.6924,                  2.126,                0.40126,                0.52224,                0.46978,                0.19632,                 2.0457,                 1.8116,                 2.3771,               0.001934,               0.001934,               0.001934
                     13,                 1.7271,                 1.5834,                 2.0515,                0.43582,                0.44294,                0.42522,                0.16817,                 1.9864,                 1.8268,                 2.3166,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.7563,                 1.6279,                 2.0764,                 0.3807,                0.39072,                0.33271,                0.15596,                 2.0103,                  2.022,                 2.3174,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.7357,                 1.5857,                  2.049,                0.48475,                0.37942,                0.41867,                0.17856,                 2.1415,                 1.8951,                  2.459,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.6766,                 1.5669,                 1.9898,                0.64666,                0.42263,                0.53408,                0.26412,                 2.0002,                 1.7016,                 2.4424,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.6417,                 1.4753,                 1.9534,                0.50587,                0.54352,                0.54324,                0.26873,                 2.0289,                 1.6721,                 2.2849,               0.001901,               0.001901,               0.001901
                     18,                 1.6809,                 1.4779,                 1.9779,                0.64468,                0.50535,                0.57873,                0.28502,                 1.9679,                 1.6076,                  2.322,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6064,                 1.4192,                 1.9156,                0.72402,                0.38298,                 0.5233,                0.28031,                 1.9099,                  1.724,                 2.2107,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.5768,                 1.4127,                 1.9026,                0.64254,                0.35203,                0.46048,                0.25015,                 1.8023,                 1.7115,                 2.1697,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.5231,                  1.345,                 1.8586,                0.50303,                0.37814,                0.35515,                0.16289,                 1.8531,                 2.1119,                 2.2954,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.5375,                 1.3972,                 1.8688,                0.43185,                0.54255,                0.49286,                0.22575,                 1.9128,                 1.7512,                 2.1999,               0.001868,               0.001868,               0.001868
                     23,                 1.5615,                 1.3668,                 1.8723,                0.59419,                0.50387,                0.52416,                0.26193,                 1.8903,                 1.7386,                 2.2793,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5559,                 1.3648,                 1.8637,                0.78896,                0.45841,                0.57699,                0.30318,                 1.8172,                 1.5807,                 2.1224,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5224,                 1.3337,                 1.8442,                0.53831,                0.55592,                0.57338,                0.28665,                 1.7447,                 1.5842,                  2.032,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5272,                 1.3283,                 1.8599,                0.70546,                0.45358,                0.58354,                0.30599,                 1.7301,                  1.505,                 2.0897,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.4834,                 1.2742,                 1.7756,                0.42492,                0.33086,                0.31974,                0.15621,                 1.8497,                 2.2416,                 2.1055,               0.001835,               0.001835,               0.001835
                     28,                 1.4813,                 1.2983,                 1.7941,                0.49099,                0.44874,                0.49213,                0.26881,                 1.7415,                 1.7009,                 2.0496,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4269,                 1.2208,                 1.7383,                0.68784,                0.55416,                0.62165,                0.30524,                 1.7741,                 1.4354,                 2.0365,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4416,                 1.1921,                 1.7455,                0.77162,                0.52321,                0.63972,                0.34805,                 1.7399,                 1.3902,                 2.0326,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.4098,                 1.1822,                 1.7112,                0.67248,                0.52998,                0.60612,                0.33793,                 1.7099,                  1.536,                 1.9877,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4218,                 1.1706,                 1.7202,                0.60873,                0.51307,                0.55533,                0.27242,                 1.8125,                  1.637,                 2.0329,               0.001802,               0.001802,               0.001802
                     33,                 1.3557,                 1.1183,                 1.6703,                0.62899,                0.60155,                0.66077,                0.35249,                 1.6555,                 1.4346,                 1.9138,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.3806,                 1.1657,                 1.6974,                0.45983,                0.39652,                0.37535,                0.18294,                 1.8067,                  2.064,                 2.2206,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.3635,                 1.1294,                 1.6546,                0.58762,                0.51161,                0.52945,                0.24625,                 1.8652,                 1.7104,                 2.0928,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.3889,                 1.1053,                 1.6767,                0.60631,                0.45938,                0.49031,                0.25619,                 1.7372,                 1.7646,                 1.9518,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.3362,                 1.0996,                 1.6659,                0.81232,                0.51904,                0.63863,                0.36537,                  1.612,                 1.3988,                 1.9234,               0.001769,               0.001769,               0.001769
                     38,                 1.3619,                 1.1281,                 1.6562,                0.65345,                0.40666,                0.51342,                0.25984,                 1.8265,                 1.6861,                 2.0354,              0.0017624,              0.0017624,              0.0017624
                     39,                  1.335,                 1.0854,                 1.6306,                0.75561,                 0.5706,                0.65229,                0.36552,                  1.644,                 1.3536,                 1.8851,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.3849,                 1.0913,                 1.6675,                0.80609,                0.48936,                0.62278,                0.35227,                 1.6533,                 1.4959,                 1.9234,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.3195,                 1.0824,                 1.6235,                0.66071,                0.54062,                0.60804,                0.28476,                 1.8145,                 1.5684,                 1.9831,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3361,                 1.0785,                 1.6454,                0.66767,                0.48066,                0.59578,                0.31736,                 1.7243,                 1.5888,                  1.945,               0.001736,               0.001736,               0.001736
                     43,                 1.2878,                 1.0369,                 1.5997,                0.57817,                0.61122,                0.62075,                0.31232,                 1.8238,                  1.401,                 2.0359,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.3525,                 1.0802,                 1.6462,                0.80231,                0.51934,                0.64321,                0.36518,                 1.6119,                 1.3579,                 1.8638,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.3247,                 1.0344,                 1.6125,                0.80072,                0.48453,                0.63061,                0.33111,                  1.895,                 1.3966,                 2.1511,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.3174,                 1.0452,                  1.609,                0.59819,                0.49384,                0.55171,                0.29594,                 1.6839,                  1.502,                 1.8853,              0.0017096,              0.0017096,              0.0017096
                     47,                  1.314,                  1.031,                 1.6065,                0.65927,                0.55222,                 0.6064,                0.34501,                   1.62,                 1.5082,                 1.9104,               0.001703,               0.001703,               0.001703
                     48,                 1.3193,                 1.0425,                 1.6187,                0.72293,                0.52991,                0.60859,                0.32258,                 1.7422,                  1.438,                 1.9411,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.2886,                 1.0476,                 1.6047,                 0.7265,                0.52515,                 0.6342,                0.32525,                 1.7535,                 1.5131,                 2.0399,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.2916,                 1.0391,                 1.6021,                0.71234,                0.52927,                0.61192,                0.31615,                 1.7556,                 1.3834,                  1.957,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.2904,                 1.0196,                 1.5937,                 0.7582,                0.51741,                0.65114,                0.36355,                 1.6055,                 1.3737,                 1.8526,              0.0016766,              0.0016766,              0.0016766
                     52,                  1.275,                 1.0144,                 1.5761,                0.76105,                0.54212,                  0.665,                0.36135,                 1.5933,                 1.3386,                 1.8104,                0.00167,                0.00167,                0.00167
                     53,                 1.2487,                0.96893,                 1.5635,                0.72335,                0.54062,                0.65271,                0.34704,                 1.6933,                 1.3294,                 1.9433,              0.0016634,              0.0016634,              0.0016634
