                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4959,                 3.8175,                 4.2448,                0.00304,                0.20986,                0.00762,                0.00265,                 3.9872,                 3.8234,                 4.1614,                 0.0006,                 0.0006,                 0.0006
                      2,                   3.18,                 3.2813,                 3.8065,                0.00299,                0.19923,                0.00754,                0.00259,                 4.1284,                  3.918,                 4.2801,               0.001216,               0.001216,               0.001216
                      3,                 2.8845,                 2.8572,                 3.3215,                0.00641,                0.41683,                0.01902,                0.00689,                  3.713,                 3.6269,                 3.9301,              0.0018279,              0.0018279,              0.0018279
                      4,                 2.6982,                 2.6952,                 3.0582,                0.11485,                0.07253,                0.03348,                0.00696,                  3.242,                  3.325,                 3.7693,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.5325,                  2.522,                 2.8506,                0.03333,                0.27756,                0.02224,                0.00744,                  2.681,                  5.067,                 2.8879,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.4549,                   2.37,                 2.7306,                0.40696,                0.32882,                0.28412,                0.09638,                 2.4841,                 2.5538,                 2.8149,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.3259,                 2.2694,                 2.6217,                0.24049,                 0.3472,                0.20224,                0.07877,                 2.2796,                 2.7771,                 2.6142,               0.001967,               0.001967,               0.001967
                      8,                 2.2575,                 2.1595,                 2.5501,                0.23864,                0.25725,                0.18723,                0.07442,                 2.3539,                 2.4238,                  2.584,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.1676,                 2.0276,                 2.4695,                0.32495,                 0.2824,                0.24955,                0.10415,                  2.355,                 2.2471,                 2.6709,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.0487,                  1.963,                 2.3473,                0.42983,                0.36944,                0.32584,                0.13995,                 2.2292,                 2.1996,                 2.5938,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.0244,                 1.8936,                 2.2901,                0.32472,                0.37427,                0.22193,                0.06909,                 2.5515,                 2.3647,                 2.8023,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.9557,                 1.8227,                 2.2354,                0.44513,                0.30948,                0.38416,                0.18263,                 2.0106,                  2.021,                 2.2989,               0.001934,               0.001934,               0.001934
                     13,                 1.8859,                 1.7087,                 2.1677,                 0.6098,                0.30368,                0.39659,                0.14377,                 2.1083,                 2.0223,                 2.4411,              0.0019274,              0.0019274,              0.0019274
                     14,                  1.862,                 1.6806,                 2.1571,                0.63469,                0.29594,                0.34975,                0.16349,                 2.1925,                 2.1237,                 2.4536,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.8536,                 1.6329,                 2.1119,                0.78053,                0.31528,                0.45449,                0.19538,                 2.0133,                 2.0219,                 2.3426,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.7814,                 1.5943,                 2.0781,                0.59816,                0.35397,                0.43768,                0.21564,                 1.9034,                 1.7807,                 2.2154,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.7587,                 1.5616,                 2.0466,                0.44274,                0.39362,                0.42622,                0.20342,                 1.8885,                 1.9565,                 2.1437,               0.001901,               0.001901,               0.001901
                     18,                 1.7705,                 1.5717,                  2.056,                 0.5168,                0.51304,                0.51994,                0.21486,                 2.0076,                  1.956,                  2.361,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6869,                 1.4445,                 1.9729,                0.51059,                0.35203,                0.43935,                0.19631,                 1.9888,                 1.8015,                 2.2987,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.6631,                 1.4495,                 1.9631,                 0.3722,                0.56867,                0.51511,                0.25344,                 1.8262,                 1.6733,                 2.1652,              0.0018812,              0.0018812,              0.0018812
                     21,                   1.61,                 1.3849,                 1.9303,                0.43249,                 0.4201,                0.42972,                0.19255,                 2.0003,                 1.9687,                 2.3179,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6588,                 1.3776,                  1.959,                0.53758,                0.37041,                0.44647,                 0.2019,                 1.9943,                 1.7847,                 2.3114,               0.001868,               0.001868,               0.001868
                     23,                 1.6336,                 1.3741,                 1.9298,                0.58874,                0.45134,                0.51443,                0.21042,                 1.9911,                 1.7011,                 2.3384,              0.0018614,              0.0018614,              0.0018614
                     24,                  1.631,                 1.3846,                 1.9302,                0.75672,                0.35687,                0.51137,                0.22707,                 1.9038,                 1.6548,                  2.162,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5625,                 1.2981,                 1.8655,                0.45683,                0.48743,                0.50474,                0.24643,                 1.8097,                 1.6803,                 2.1378,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5796,                 1.3204,                 1.9027,                0.60483,                0.36074,                0.43184,                0.19832,                  1.899,                 1.9229,                 2.1806,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.5205,                 1.2571,                 1.8176,                0.76441,                0.41779,                0.52535,                0.23911,                 1.9228,                 1.6613,                 2.2453,               0.001835,               0.001835,               0.001835
                     28,                 1.5593,                 1.2827,                 1.8505,                0.72923,                0.41006,                0.56583,                0.26954,                 1.9009,                  1.618,                 2.1749,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.5039,                 1.2498,                 1.8229,                0.61054,                 0.4352,                0.52249,                0.23527,                 1.9816,                 1.7929,                 2.2345,              0.0018218,              0.0018218,              0.0018218
